case_name,cycle_start_s,suppression,is_pre_fault,is_fault_window,is_response_window,is_material_suppression,time_s,Cs1_pF,Cs2_pF,lambda,innovation_scalar,local_ls_Cs1_pF,local_ls_Cs2_pF,E_in,E_quad,base_in,base_in_candidate,base_in_increment_candidate,base_in_increment_applied,evidence_ratio_base,evidence_ratio_quad,evidence_background_excess,evidence_phase_weight,fault_evidence_score,update_weight,delta_c_local_1,delta_c_local_2,delta_c_m2_raw_1,delta_c_m2_raw_2,delta_c_raw_1,delta_c_raw_2,delta_c_after_rate_1,delta_c_after_rate_2,delta_c_applied_1,delta_c_applied_2,delta_c_suppressed_1,delta_c_suppressed_2,delta_c_information_suppressed_1,delta_c_information_suppressed_2,delta_c_rate_suppressed_1,delta_c_rate_suppressed_2,delta_c_projection_suppressed_1,delta_c_projection_suppressed_2,J_increment_norm_raw,J_increment_norm_applied,h_increment_norm_raw,h_increment_norm_applied,rate_limit_active,projection_active,m4_evidence_valid,fault_direction_candidate_1,fault_direction_candidate_2,direction_candidate_valid,cos_local_fault,cos_raw_fault,delta_c_parallel_1,delta_c_parallel_2,delta_c_perpendicular_1,delta_c_perpendicular_2,R_condition_number,J_11,J_12,J_21,J_22,h_1,h_2,J_increment_raw_11,J_increment_raw_12,J_increment_raw_21,J_increment_raw_22,J_increment_applied_11,J_increment_applied_12,J_increment_applied_21,J_increment_applied_22,h_increment_raw_1,h_increment_raw_2,h_increment_applied_1,h_increment_applied_2,forced_update_weight_active,direction_diagnostics_enabled
Case05_fault_only,0.69999999999998,0,0,0,0,0,0.71998,10.0626978721989,9.91147071091646,0.945218475070916,0.0223737190692513,10.1152691626653,9.87206774480514,0.000933794849097994,1.17194802142306e-05,0.000933794849097994,0.000933794849097994,0,0,0.999999999999762,79.6788622029859,0,1,0,1,0.0895213980523817,-0.0670857802778766,0.036950107586005,-0.0276828141665479,0.036950107586005,-0.0276828141665479,0.036950107586005,-0.0276828141665479,0.036950107586005,-0.0276828141665479,0,0,0,0,0,0,0,0,3.19487293942765e-06,3.19487293942765e-06,3.87268293322234e-05,3.87268293322234e-05,0,0,1,-0.221785424736988,-0.975095495515288,1,0.407268015933962,0.407157924575796,-0.00416920937448516,-0.0183302274517889,0.0411193169604902,-0.00935258671475909,1.66666666666668,5.78429893419262e-06,1.4437116873605e-06,1.4437116873605e-06,5.7842989341926e-06,7.2515964951331e-05,7.18595351409775e-05,2.19163252707088e-06,5.48045085580055e-07,5.48045085580055e-07,2.19163252707088e-06,2.19163252707088e-06,5.48045085580055e-07,5.48045085580055e-07,2.19163252707088e-06,2.75946298887452e-05,2.71717447255477e-05,2.75946298887452e-05,2.71717447255477e-05,0,1
Case05_fault_only,0.71999999999998,0,0,0,0,0,0.73998,10.0736356954832,9.98916489253445,0.885372694453096,0.0492706991222041,10.0967192649081,10.1554637223694,0.000931389242180079,1.11617449402703e-05,0.000933758764994226,0.000933758764994226,-3.6084103768679e-08,-3.6084103768679e-08,0.997423837879958,83.4447702528311,0,1,0,1,0.0340213927091924,0.243993011452984,0.0109378232843493,0.0776941816179875,0.0109378232843493,0.0776941816179875,0.0109378232843493,0.0776941816179875,0.0109378232843493,0.0776941816179875,0,0,0,0,0,0,0,0,2.51528230034267e-06,2.51528230034267e-06,3.10540329473413e-05,3.10540329473413e-05,0,0,1,-0.2432559606315,0.969962132053228,1,0.927074626901746,0.926579489048015,-0.017684641038731,0.0705159786506062,0.0286224643230803,0.00717820296738128,1.66666666666669,7.5097046043028e-06,1.87533397450543e-06,1.87533397450543e-06,7.50970460430277e-06,9.43840560279158e-05,9.39081077696252e-05,1.72540567011017e-06,4.3162228714493e-07,4.3162228714493e-07,1.72540567011018e-06,1.72540567011017e-06,4.3162228714493e-07,4.3162228714493e-07,1.72540567011018e-06,2.18680910765848e-05,2.20485726286477e-05,2.18680910765848e-05,2.20485726286477e-05,0,1
Case05_fault_only,0.73999999999998,0.00799458687213261,0,0,0,0,0.75998,10.0894145222732,9.97068938883943,0.951541828102067,0.0195317626507563,10.1367171810638,9.91461309857153,0.000934661786143192,1.69056762521259e-05,0.000933772202022245,0.00093377231031146,1.35453172344984e-08,1.34370280191216e-08,1.00096708184447,55.286861773032,0.00805901537061689,1,0.00805901537061689,0.992005413127867,0.0630814855805291,-0.0745517939629252,0.0158789975521803,-0.0185927913250961,0.0157788267899868,-0.0184755036950257,0.0157788267899868,-0.0184755036950257,0.0157788267899868,-0.0184755036950257,0.000100170762193486,-0.000117287630070351,0.000100170762193486,-0.000117287630070351,0,0,0,0,2.95128028344739e-06,2.92768601683736e-06,3.58810387356319e-05,3.55941846543975e-05,0,0,1,0.926865639767154,-0.375393241573447,1,0.88526880688436,0.887391605608866,0.0199836232371672,-0.0080936403115205,-0.00420479644718048,-0.0103818633835052,1.66666666666668,9.51805697646245e-06,2.37752264008162e-06,2.37752264008162e-06,9.51805697646243e-06,0.000119738170982784,0.000118890398218395,2.0245377147965e-06,5.06235811751021e-07,5.06235811751021e-07,2.0245377147965e-06,2.00835237215965e-06,5.02188665576193e-07,5.02188665576193e-07,2.00835237215965e-06,2.55584441569977e-05,2.51836231114894e-05,2.5354114954868e-05,2.49822904487696e-05,0,1
Case05_fault_only,0.75999999999998,0,0,0,0,0,0.77998,10.0846928393954,9.99446535616362,0.943749926010161,0.0230337411190289,10.066595802188,10.0835748917268,0.000930538345207896,1.38527639092053e-05,0.00093372369417003,0.00093372369417003,-4.85078522152477e-08,-4.85078522152477e-08,0.996536781875101,67.1734789744468,0,1,0,1,-0.0228187200852457,0.112885502887361,-0.00472168287780583,0.0237759673241911,-0.00472168287780583,0.0237759673241911,-0.00472168287780583,0.0237759673241911,-0.00472168287780583,0.0237759673241911,0,0,0,0,0,0,0,0,2.70130395421138e-06,2.70130395421138e-06,3.30492201098052e-05,3.30492201098052e-05,0,0,1,-0.212051340908287,0.977258527115003,1,0.999898886430485,0.999844532290613,-0.00513938359486525,0.0236853321496763,0.000417700717059413,9.06351745147381e-05,1.66666666666668,1.13711098387114e-05,2.84089788351815e-06,2.84089788351815e-06,1.13711098387114e-05,0.000143068413912937,0.000142298745334037,1.85305286224899e-06,4.63375243436529e-07,4.63375243436529e-07,1.85305286224898e-06,1.85305286224899e-06,4.63375243436529e-07,4.63375243436529e-07,1.85305286224898e-06,2.33302429301529e-05,2.34083471156424e-05,2.33302429301529e-05,2.34083471156424e-05,0,1
Case05_fault_only,0.77999999999998,0,0,0,0,0,0.79998,10.0600068641492,10.0102510948006,0.924516098100178,0.0316781581572232,9.95102654809838,10.0794416185946,0.000930734368859978,5.87678117078506e-06,0.000933678854290379,0.000933678854290379,-4.48398796507868e-08,-4.48398796507868e-08,0.996798490464644,158.374855516439,0,1,0,1,-0.133666291297045,0.0849762624310149,-0.0246859752462623,0.015785738636982,-0.0246859752462623,0.015785738636982,-0.0246859752462623,0.015785738636982,-0.0246859752462623,0.015785738636982,0,0,0,0,0,0,0,0,2.23054598294552e-06,2.23054598294552e-06,2.70571104121356e-05,2.70571104121356e-05,0,0,1,-0.0564121016145679,0.998407569478225,1,0.583249440107488,0.585400017983045,-0.000967647423338543,0.0171258734278004,-0.0237183278229237,-0.0013401347908184,1.66666666666668,1.29012183705685e-05,3.22356689422489e-06,3.22356689422489e-06,1.29012183705685e-05,0.000162056065396571,0.000161574541426301,1.53010853185711e-06,3.82669010706743e-07,3.82669010706743e-07,1.53010853185711e-06,1.53010853185711e-06,3.82669010706743e-07,3.82669010706743e-07,1.53010853185711e-06,1.89876514836343e-05,1.92757960922639e-05,1.89876514836343e-05,1.92757960922639e-05,0,1
Case05_fault_only,0.79999999999998,0,0,0,0,0,0.81998,10.025017835934,9.97904039808664,0.875316514334807,0.0537903306360416,9.85931404506842,9.8312053349575,0.000929228852031314,1.98606720197869e-05,0.000933612104256493,0.000933612104256493,-6.67500338859739e-08,-6.67500338859739e-08,0.995233904849791,46.7873821739339,0,1,0,1,-0.200692819080738,-0.179045759843101,-0.0349890282152021,-0.0312106967139556,-0.0349890282152021,-0.0312106967139556,-0.0349890282152021,-0.0312106967139556,-0.0349890282152021,-0.0312106967139556,0,0,0,0,0,0,0,0,1.13692833240821e-06,1.13692833240821e-06,1.30374331194503e-05,1.30374331194503e-05,0,0,1,-0.817957755242892,0.575278289732897,1,0.22739071710113,0.227458243449054,-0.00872328286543416,0.00613517656079079,-0.026265745349768,-0.0373458732747464,1.6666666666667,1.36810937662128e-05,3.41875240543166e-06,3.41875240543166e-06,1.36810937662127e-05,0.00017127007988801,0.000170798239128183,7.79875395644201e-07,1.95185511206767e-07,1.95185511206767e-07,7.79875395644215e-07,7.79875395644201e-07,1.95185511206767e-07,1.95185511206767e-07,7.79875395644215e-07,9.21401449143879e-06,9.22369770188153e-06,9.21401449143879e-06,9.22369770188153e-06,0,1
Case05_fault_only,0.81999999999998,0,0,0,0,0,0.83998,9.97011321353376,9.97050120820085,0.849777738961444,0.0652684319274408,9.70258453630114,9.92868195843083,0.000932284475672251,1.34172380883791e-05,0.000933592189827729,0.000933592189827729,-1.99144287635865e-08,-1.99144287635865e-08,0.998577965540067,69.4840823063494,0,1,0,1,-0.322433299632817,-0.0503584396558168,-0.0549046224001994,-0.00853918988579849,-0.0549046224001994,-0.00853918988579849,-0.0549046224001994,-0.00853918988579849,-0.0549046224001994,-0.00853918988579849,0,0,0,0,0,0,0,0,4.85854248665424e-07,4.85854248665424e-07,5.12056682539622e-06,5.12056682539622e-06,0,0,1,0.982428264170975,0.186640579076463,1,-0.999461778308194,-0.99944060298257,-0.0545577902610758,-0.0103648255438295,-0.000346832139123635,0.00182563565803099,1.66666666666669,1.40143331985863e-05,3.50229075701035e-06,3.50229075701035e-06,1.40143331985863e-05,0.000174645079837654,0.000174649158492861,3.33239432373537e-07,8.35383515786929e-08,8.35383515786929e-08,3.33239432373535e-07,3.33239432373537e-07,8.35383515786929e-08,8.35383515786929e-08,3.33239432373535e-07,3.37499994964395e-06,3.85091936467796e-06,3.37499994964395e-06,3.85091936467796e-06,0,1
Case05_fault_only,0.83999999999998,0,0,0,0,0,0.85998,9.99927484929778,9.98311586718473,0.905890128252536,0.0400493805606579,10.1539680409281,10.0498499607184,0.000931150058709728,1.1447910746625e-05,0.000933555557860959,0.000933555557860959,-3.66319667700638e-08,-3.66319667700638e-08,0.997384156439147,81.3379907740964,0,1,0,1,0.183854827394377,0.079348752517566,0.0291616357640194,0.0126146589838854,0.0291616357640194,0.0126146589838854,0.0291616357640194,0.0126146589838854,0.0291616357640194,0.0126146589838854,0,0,0,0,0,0,0,0,1.55917583536409e-06,1.55917583536409e-06,1.94102490304297e-05,1.94102490304297e-05,0,0,1,0.712759422531752,-0.701408586768226,1,0.376477054989362,0.375701337702046,0.00850835216125076,-0.00837285495848134,0.0206532836027687,0.0209875139423667,1.66666666666668,1.50838903700556e-05,3.76980169089942e-06,3.76980169089942e-06,1.50838903700556e-05,0.000188463332610905,0.000188280506838415,1.06955717146932e-06,2.67510933889065e-07,2.67510933889065e-07,1.06955717146932e-06,1.06955717146932e-06,2.67510933889065e-07,2.67510933889065e-07,1.06955717146932e-06,1.38182527732511e-05,1.3631348345554e-05,1.38182527732511e-05,1.3631348345554e-05,0,1
Case05_fault_only,0.85999999999998,0,0,0,0,0,0.87998,10.0275383454912,10.0261295268228,0.849419572171991,0.0654294057653972,10.1788500284676,10.2565714092688,0.000929601417479755,1.10729012683697e-05,0.000933496245755241,0.000933496245755241,-5.93121057180677e-08,-5.93121057180677e-08,0.99576442949953,83.952831776489,0,1,0,1,0.179575179169779,0.273455542084022,0.0282634961934409,0.0430136596380635,0.0282634961934409,0.0430136596380635,0.0282634961934409,0.0430136596380635,0.0282634961934409,0.0430136596380635,0,0,0,0,0,0,0,0,1.70769935896002e-07,1.70769935896002e-07,3.03074592716436e-06,3.03074592716436e-06,0,0,1,0.967398924575794,0.253257419890499,1,0.742710337683692,0.742894200923361,0.0369890824631745,0.00968345048848205,-0.00872558626973353,0.0333302091495814,1.66666666666669,1.52009959762364e-05,3.79925440731067e-06,3.79925440731067e-06,1.52009959762363e-05,0.000190521389588252,0.000190505326460995,1.17105606180748e-07,2.94527164112526e-08,2.94527164112526e-08,1.1710560618075e-07,1.17105606180748e-07,2.94527164112526e-08,2.94527164112526e-08,1.1710560618075e-07,2.05805697734674e-06,2.22481962258017e-06,2.05805697734674e-06,2.22481962258017e-06,0,1
Case05_fault_only,0.87999999999998,0,0,0,0,0,0.89998,10.0116759313774,10.0453744674847,0.919006263139796,0.0341544884764963,9.91858525618238,10.1576302926279,0.000924604806015245,9.90444604053288e-06,0.000933362874159141,0.000933362874159141,-1.33371596099953e-07,-1.33371596099953e-07,0.990475119979703,93.3525007063163,0,1,0,1,-0.108953089308839,0.131500765805139,-0.0158624141138102,0.0192449406618689,-0.0158624141138102,0.0192449406618689,-0.0158624141138102,0.0192449406618689,-0.0158624141138102,0.0192449406618689,0,0,0,0,0,0,0,0,1.68700773684467e-06,1.68700773684467e-06,2.05648251863685e-05,2.05648251863685e-05,0,0,1,-0.666981472995472,0.745074301449721,1,0.999268563687707,0.999167651186325,-0.0166204093114092,0.0185663925594388,0.000757995197599028,0.000678548102430097,1.66666666666668,1.63582547795386e-05,4.08864966343362e-06,4.08864966343362e-06,1.63582547795385e-05,0.000204846563758785,0.000205260034859665,1.15725880330219e-06,2.89395256122946e-07,2.89395256122946e-07,1.15725880330219e-06,1.15725880330219e-06,2.89395256122946e-07,2.89395256122946e-07,1.15725880330219e-06,1.4325174170533e-05,1.47547083986702e-05,1.4325174170533e-05,1.47547083986702e-05,0,1
