case_name,algorithm_mode,pre_Cs1_bias_pF,pre_Cs2_bias_pF,drift_window_Cs1_RMSE_pF,drift_window_Cs2_RMSE_pF
Case05_fault_only,M2,0.0202221494652862,0.050570710129502,0.041989159327593,0.0331648531698579
Case05_fault_only,M3,0.0202221494652862,0.050570710129502,0.041989159327593,0.0331648531698579
Case05_fault_only,M4,0.0198738062933222,0.0506020299573501,0.0417614943455737,0.0329986189580993
Case06_drift_then_fault,M2,-0.05782713281561,0.0569390160259548,0.216860912217057,0.159477203823498
Case06_drift_then_fault,M3,-0.05782713281561,0.0569390160259548,0.216860912217057,0.159477203823498
Case06_drift_then_fault,M4,-0.0580146857798512,0.0567721270938576,0.217703487018083,0.160195057428931
