condition_id,condition_order,factor_type,factor_value,fault_factor_target,reference_phase_error_deg,schema_version,case_name,algorithm_mode,cycle_index,time_start_s,time_end_s,sample_start_index,sample_end_index,n_samples,fault_factor_true,fault_factor_start,fault_factor_end,Cs1_true_pF,Cs2_true_pF,Cs1_est_before_pF,Cs2_est_before_pF,Cs1_est_pF,Cs2_est_pF,Cs1_cf_before_pF,Cs2_cf_before_pF,Cs1_cf_est_pF,Cs2_cf_est_pF,Cs1_lambda_neutral_before_pF,Cs2_lambda_neutral_before_pF,Cs1_lambda_neutral_est_pF,Cs2_lambda_neutral_est_pF,rank_X,sigma_max_X_A_per_pF,sigma_min_X_A_per_pF,cond2_X,r_fault_norm_A,r_parallel_norm_A,r_perp_norm_A,eta_geom,projection_energy_closure_relerr,projection_fit_relerr,counterfactual_identity_max_abs_A,delta_Cs1_LS_pred_pF,delta_Cs2_LS_pred_pF,cLS1_code_pF,cLS2_code_pF,innovation,lambda,cLS1_cf_code_pF,cLS2_cf_code_pF,innovation_cf,lambda_cf,innovation_lambda_neutral,lambda_neutral,R11,R12,R22,z1,z2,J11_before,J12_before,J22_before,h1_before,h2_before,J11_after,J12_after,J22_after,h1_after,h2_after,delta_Cs1_RLS_direct_raw_pF,delta_Cs2_RLS_direct_raw_pF,delta_Cs1_RLS_fault_cf_raw_pF,delta_Cs2_RLS_fault_cf_raw_pF,Cs1_raw_pF,Cs2_raw_pF,Cs1_rate_limited_pF,Cs2_rate_limited_pF,Cs1_projected_pF,Cs2_projected_pF,Cs1_cf_raw_pF,Cs2_cf_raw_pF,Cs1_cf_rate_limited_pF,Cs2_cf_rate_limited_pF,delta_Cs1_RLS_pred_pF,delta_Cs2_RLS_pred_pF,delta_Cs1_actual_pF,delta_Cs2_actual_pF,prediction_error_Cs1_pF,prediction_error_Cs2_pF,rate_limit_active_Cs1,rate_limit_active_Cs2,projection_active_Cs1,projection_active_Cs2,E_in_A,E_quad_A,base_in_A,E_in_cf_A,E_quad_cf_A,base_in_cf_A,gate_trigger_condition,gate_active,gate_hold_before,gate_hold_after,state_mismatch_norm_before,state_mismatch_norm_after,state_mismatch_rel_after,state_mismatch_cf_norm_after,state_mismatch_cf_rel_after
fault_factor_1p05,1,fault_amplitude,1.05,1.05,0,phase1b_mechanism_v1,fault_factor_1p05,M2,1,0.7,0.71998,35001,36000,1000,1,1,1,10,10,10.0257519103819,9.93924915326663,10.062671183421,9.91156007404091,10.0257519103819,9.93924915326663,10.062671183421,9.91156007404091,10.0257519103819,9.93924915326663,10.062671183421,9.91156007404091,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,10.1151998494005,9.87214731932012,0.0223638904608837,0.945240343724534,10.1151998494005,9.87214731932012,0.0223638904608837,0.945240343724534,0.0223638904608837,0.945240343724534,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,3.0055371082346e-05,2.96199587097506e-05,3.59266640712174e-06,8.95666601780444e-07,3.59266640712172e-06,4.49214356079211e-05,4.46881376888195e-05,5.78437750096984e-06,1.44373127438317e-06,5.78437750096982e-06,7.25169243169769e-05,7.18609893391397e-05,0,0,0,0,10.062671183421,9.91156007404091,10.062671183421,9.91156007404091,10.062671183421,9.91156007404091,10.062671183421,9.91156007404091,10.062671183421,9.91156007404091,0.0369192730391266,-0.0276890792257181,0.0369192730391266,-0.0276890792257181,0,0,0,0,0,0,0.000933790979182629,1.17156486289034e-05,0.000933790979182629,0.000933790979182629,1.17156486289034e-05,0.000933790979182629,0,0,0,0,0,1.41243185480373e-09,1.38349392939661e-05,1.41243185480373e-09,1.38349392939661e-05
fault_factor_1p05,1,fault_amplitude,1.05,1.05,0,phase1b_mechanism_v1,fault_factor_1p05,M2,2,0.72,0.73998,36001,37000,1000,1,1,1,10,10,10.062671183421,9.91156007404091,10.0736506962399,9.98923408973773,10.062671183421,9.91156007404091,10.0736506962399,9.98923408973773,10.062671183421,9.91156007404091,10.0736506962399,9.98923408973773,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,10.0968244553884,10.1554951662782,0.0492628765749244,0.885390099620793,10.0968244553884,10.1554951662782,0.0492628765749244,0.885390099620793,0.0492628765749244,0.885390099620793,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,3.01806707757147e-05,3.02857754352792e-05,5.78437750096984e-06,1.44373127438317e-06,5.78437750096982e-06,7.25169243169769e-05,7.18609893391397e-05,7.50987484324247e-06,1.87537644470541e-06,7.50987484324245e-06,9.43864376209164e-05,9.39107839451088e-05,0,0,0,0,10.0736506962399,9.98923408973773,10.0736506962399,9.98923408973773,10.0736506962399,9.98923408973773,10.0736506962399,9.98923408973773,10.0736506962399,9.98923408973773,0.0109795128189329,0.0776740156968163,0.0109795128189329,0.0776740156968163,0,0,0,0,0,0,0.000931385437406019,1.11551977088351e-05,0.00093375489605598,0.000931385437406019,1.11551977088351e-05,0.00093375489605598,0,0,0,0,1.41243185480373e-09,1.41867274610859e-09,1.06549625122699e-05,1.41867274610859e-09,1.06549625122699e-05
fault_factor_1p05,1,fault_amplitude,1.05,1.05,0,phase1b_mechanism_v1,fault_factor_1p05,M2,3,0.74,0.75998,37001,38000,1000,1,1,1,10,10,10.0736506962399,9.98923408973773,10.08952892167,9.97071952266679,10.0736506962399,9.98923408973773,10.08952892167,9.97071952266679,10.0736506962399,9.98923408973773,10.08952892167,9.97071952266679,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,10.1367352023904,9.91498728979169,0.019485627748133,0.951644478260404,10.1367352023904,9.91498728979169,0.019485627748133,0.951644478260404,0.019485627748133,0.951644478260404,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,3.0132389446878e-05,2.97351428734284e-05,7.50987484324247e-06,1.87537644470541e-06,7.50987484324245e-06,9.43864376209164e-05,9.39107839451088e-05,9.53517519841292e-06,2.38180270611717e-06,9.5351751984129e-06,0.000119954721631493,0.000119104821863897,0,0,0,0,10.08952892167,9.97071952266679,10.08952892167,9.97071952266679,10.08952892167,9.97071952266679,10.08952892167,9.97071952266679,10.08952892167,9.97071952266679,0.0158782254300913,-0.0185145670709357,0.0158782254300913,-0.0185145670709357,0,0,0,0,0,0,0.000934658137555995,1.68843999770262e-05,0.00093376844467848,0.000934658137555995,1.68843999770262e-05,0.00093376844467848,0,0,0,0,1.41867274610859e-09,1.41849864880484e-09,8.39141295316115e-06,1.41849864880484e-09,8.39141295316115e-06
fault_factor_1p05,1,fault_amplitude,1.05,1.05,0,phase1b_mechanism_v1,fault_factor_1p05,M2,4,0.76,0.77998,38001,39000,1000,1,1,1,10,10,10.08952892167,9.97071952266679,10.0847416180042,9.99442537078335,10.08952892167,9.97071952266679,10.0847416180042,9.99442537078335,10.08952892167,9.97071952266679,10.0847416180042,9.99442537078335,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,10.066364624673,10.0834356494022,0.0230143519409867,0.943793066931305,10.066364624673,10.0834356494022,0.0230143519409867,0.943793066931305,0.0230143519409867,0.943793066931305,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,3.00648885864803e-05,3.00954701869989e-05,9.53517519841292e-06,2.38180270611717e-06,9.5351751984129e-06,0.000119954721631493,0.000119104821863897,1.13876765156519e-05,2.84503994868524e-06,1.13876765156519e-05,0.000143277323207958,0.000142505775300233,0,0,0,0,10.0847416180042,9.99442537078335,10.0847416180042,9.99442537078335,10.0847416180042,9.99442537078335,10.0847416180042,9.99442537078335,10.0847416180042,9.99442537078335,-0.00478730366581459,0.023705848116558,-0.00478730366581459,0.023705848116558,0,0,0,0,0,0,0.000930538140573736,1.38487006032701e-05,0.000933719990116909,0.000930538140573736,1.38487006032701e-05,0.000933719990116909,0,0,0,0,1.41849864880484e-09,1.41982587664486e-09,7.0260617363702e-06,1.41982587664486e-09,7.0260617363702e-06
fault_factor_1p05,1,fault_amplitude,1.05,1.05,0,phase1b_mechanism_v1,fault_factor_1p05,M2,5,0.78,0.79998,39001,40000,1000,1,1,1,10,10,10.0847416180042,9.99442537078335,10.0600634390417,10.0102157728844,10.0847416180042,9.99442537078335,10.0600634390417,10.0102157728844,10.0847416180042,9.99442537078335,10.0600634390417,10.0102157728844,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,9.95096739207053,10.0795228573538,0.0317093839389909,0.924446620735745,9.95096739207053,10.0795228573538,0.0317093839389909,0.924446620735745,0.0317093839389909,0.924446620735745,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,2.97869208161722e-05,3.00172193451798e-05,1.13876765156519e-05,2.84503994868524e-06,1.13876765156519e-05,0.000143277323207958,0.000142505775300233,1.29157433443407e-05,3.22719863427391e-06,1.29157433443407e-05,0.000162239158083832,0.000161756201756808,0,0,0,0,10.0600634390417,10.0102157728844,10.0600634390417,10.0102157728844,10.0600634390417,10.0102157728844,10.0600634390417,10.0102157728844,10.0600634390417,10.0102157728844,-0.0246781789624979,0.015790402101036,-0.0246781789624979,0.015790402101036,0,0,0,0,0,0,0.000930733223587252,5.87520756345044e-06,0.000933675188618964,0.000930733223587252,5.87520756345044e-06,0.000933675188618964,0,0,0,0,1.41982587664486e-09,1.41918743024636e-09,6.19463156080442e-06,1.41918743024636e-09,6.19463156080442e-06
fault_factor_1p05,1,fault_amplitude,1.05,1.05,0,phase1b_mechanism_v1,fault_factor_1p05,M2,6,0.8,0.81998,40001,41000,1000,1,1,1,10,10,10.0600634390417,10.0102157728844,10.025114682851,9.97897174325393,10.0600634390417,10.0102157728844,10.025114682851,9.97897174325393,10.0600634390417,10.0102157728844,10.025114682851,9.97897174325393,2,0.00172787596177161,0.0013384069648507,1.29099444873582,0,0,0,NaN,0,0,0,0,-0,9.85943077352003,9.83082659510916,0.0538271097411744,0.875234680825887,9.85943077352003,9.83082659510916,0.0538271097411744,0.875234680825887,0.0538271097411744,0.875234680825887,2.3884442714145e-06,5.97111067853646e-07,2.38844427141452e-06,2.94197822595888e-05,2.93685397846231e-05,1.29157433443407e-05,3.22719863427391e-06,1.29157433443407e-05,0.000162239158083832,0.000161756201756808,1.36927507750277e-05,3.42166723448411e-06,1.36927507750276e-05,0.000171417120002552,0.00017094317740085,0,0,0,0,10.025114682851,9.97897174325393,10.025114682851,9.97897174325393,10.025114682851,9.97897174325393,10.025114682851,9.97897174325393,10.025114682851,9.97897174325393,-0.0349487561907047,-0.0312440296304537,-0.0349487561907047,-0.0312440296304537,0,0,0,0,0,0,0.000929233781216547,1.98578740551938e-05,0.000933608567507928,0.000929233781216547,1.98578740551938e-05,0.000933608567507928,0,0,0,0,1.41918743024636e-09,1.41450627945444e-09,5.84300242420287e-06,1.41450627945444e-09,5.84300242420287e-06
fault_factor_1p05,1,fault_amplitude,1.05,1.05,0,phase1b_mechanism_v1,fault_factor_1p05,M2,7,0.82,0.83998,41001,42000,1000,1,1,1,10,10,10.025114682851,9.97897174325393,9.97026457443484,9.97051964522687,10.025114682851,9.97897174325393,9.97026457443484,9.97051964522687,10.025114682851,9.97897174325393,9.97026457443484,9.97051964522687,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,9.70275355471027,9.92908609882799,0.0652396426893855,0.849841795016117,9.70275355471027,9.92908609882799,0.0652396426893855,0.849841795016117,0.0652396426893855,0.849841795016117,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,2.91042236233318e-05,2.95096832579107e-05,1.36927507750277e-05,3.42166723448411e-06,1.36927507750276e-05,0.000171417120002552,0.00017094317740085,1.40251161687723e-05,3.50498689235544e-06,1.40251161687723e-05,0.000174781656582794,0.000174784339986008,0,0,0,0,9.97026457443484,9.97051964522687,9.97026457443484,9.97051964522687,9.97026457443484,9.97051964522687,9.97026457443484,9.97051964522687,9.97026457443484,9.97051964522687,-0.0548501084161845,-0.0084520980270586,-0.0548501084161845,-0.0084520980270586,0,0,0,0,0,0,0.000932281538394792,1.34086013522668e-05,0.00093358866207123,0.000932281538394792,1.34086013522668e-05,0.00093358866207123,0,0,0,0,1.41450627945444e-09,1.41002637452777e-09,5.70444048241318e-06,1.41002637452777e-09,5.70444048241318e-06
fault_factor_1p05,1,fault_amplitude,1.05,1.05,0,phase1b_mechanism_v1,fault_factor_1p05,M2,8,0.84,0.85998,42001,43000,1000,1,1,1,10,10,9.97026457443484,9.97051964522687,9.99933153118951,9.98313220034197,9.97026457443484,9.97051964522687,9.99933153118951,9.98313220034197,9.97026457443484,9.97051964522687,9.99933153118951,9.98313220034197,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,10.1536700719189,10.0499196040548,0.0399709544390578,0.906064626373096,10.1536700719189,10.0499196040548,0.0399709544390578,0.906064626373096,0.0399709544390578,0.906064626373096,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,3.0253408710735e-05,3.00675466777183e-05,1.40251161687723e-05,3.50498689235544e-06,1.40251161687723e-05,0.000174781656582794,0.000174784339986008,1.50961059127125e-05,3.77285570691827e-06,1.50961059127125e-05,0.000188616885079295,0.000188433454383009,0,0,0,0,9.99933153118951,9.98313220034197,9.99933153118951,9.98313220034197,9.99933153118951,9.98313220034197,9.99933153118951,9.98313220034197,9.99933153118951,9.98313220034197,0.0290669567546757,0.0126125551150942,0.0290669567546757,0.0126125551150942,0,0,0,0,0,0,0.000931142931352999,1.14393468725819e-05,0.000933551976110457,0.000931142931352999,1.14393468725819e-05,0.000933551976110457,0,0,0,0,1.41002637452777e-09,1.41297402526731e-09,5.29968172472635e-06,1.41297402526731e-09,5.29968172472635e-06
fault_factor_1p05,1,fault_amplitude,1.05,1.05,0,phase1b_mechanism_v1,fault_factor_1p05,M2,9,0.86,0.87998,43001,44000,1000,1,1,1,10,10,9.99933153118951,9.98313220034197,10.0275169610433,10.0260653181021,9.99933153118951,9.98313220034197,10.0275169610433,10.0260653181021,9.99933153118951,9.98313220034197,10.0275169610433,10.0260653181021,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,10.1785653993217,10.2563120703922,0.0653458555338559,0.849605471437171,10.1785653993217,10.2563120703922,0.0653458555338559,0.849605471437171,0.0653458555338559,0.849605471437171,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,3.04361115283598e-05,3.05753894963818e-05,1.50961059127125e-05,3.77285570691827e-06,1.50961059127125e-05,0.000188616885079295,0.000188433454383009,1.52141784522501e-05,3.80254991939436e-06,1.521417845225e-05,0.000190686049097165,0.000190669483341993,0,0,0,0,10.0275169610433,10.0260653181021,10.0275169610433,10.0260653181021,10.0275169610433,10.0260653181021,10.0275169610433,10.0260653181021,10.0275169610433,10.0260653181021,0.0281854298538171,0.0429331177601018,0.0281854298538171,0.0429331177601018,0,0,0,0,0,0,0.00092959491624434,1.10599756725475e-05,0.000933492620212465,0.00092959491624434,1.10599756725475e-05,0.000933492620212465,0,0,0,0,1.41297402526731e-09,1.41800240538384e-09,5.25850042990898e-06,1.41800240538384e-09,5.25850042990898e-06
fault_factor_1p05,1,fault_amplitude,1.05,1.05,0,phase1b_mechanism_v1,fault_factor_1p05,M2,10,0.88,0.89998,44001,45000,1000,1,1,1,10,10,10.0275169610433,10.0260653181021,10.0116889914437,10.0452289821799,10.0275169610433,10.0260653181021,10.0116889914437,10.0452289821799,10.0275169610433,10.0260653181021,10.0116889914437,10.0452289821799,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,9.91870047061246,10.1571295557658,0.03406984765688,0.919194588963442,9.91870047061246,10.1571295557658,0.03406984765688,0.919194588963442,0.03406984765688,0.919194588963442,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,2.97561896643288e-05,3.01833194441672e-05,1.52141784522501e-05,3.80254991939436e-06,1.521417845225e-05,0.000190686049097165,0.000190669483341993,1.63732347802469e-05,4.09239437802431e-06,1.63732347802469e-05,0.00020503377418526,0.000205445676812582,0,0,0,0,10.0116889914437,10.0452289821799,10.0116889914437,10.0452289821799,10.0116889914437,10.0452289821799,10.0116889914437,10.0452289821799,10.0116889914437,10.0452289821799,-0.0158279695996377,0.0191636640777872,-0.0158279695996377,0.0191636640777872,0,0,0,0,0,0,0.000924616556603242,9.89728091197564e-06,0.000933359479258327,0.000924616556603242,9.89728091197564e-06,0.000933359479258327,0,0,0,0,1.41800240538384e-09,1.41824025384927e-09,4.88622167811047e-06,1.41824025384927e-09,4.88622167811047e-06
