condition_id,configured_SNR_dB,realized_SNR_A_dB,realized_SNR_B_dB,realized_SNR_C_dB,normalized_signature_max_abs
fault_factor_1p05,30,29.9986284410441,29.9877146905534,30.0088657903498,7.99360577730113e-15
fault_factor_1p10,30,29.9986284410441,29.9877146905534,30.0088657903498,7.105427357601e-15
fault_factor_1p20,30,29.9986284410441,29.9877146905534,30.0088657903498,6.21724893790088e-15
fault_factor_1p30,30,29.9986284410441,29.9877146905534,30.0088657903498,4.44089209850063e-15
fault_factor_1p40,30,29.9986284410441,29.9877146905534,30.0088657903498,3.5527136788005e-15
fault_factor_1p60_phase_0deg,30,29.9986284410441,29.9877146905534,30.0088657903498,0
phase_error_0p33deg,30,29.9986284410441,29.9877146905534,30.0088657903498,0
phase_error_0p50deg,30,29.9986284410441,29.9877146905534,30.0088657903498,0
phase_error_1p00deg,30,29.9986284410441,29.9877146905534,30.0088657903498,0
phase_error_2p00deg,30,29.9986284410441,29.9877146905534,30.0088657903498,0
phase_error_3p00deg,30,29.9986284410441,29.9877146905534,30.0088657903498,0
