time_s,Cs1_pF,Cs2_pF,lambda,E_in,E_quad,gate,base_in
0.71998,10.176801987051,10.0601152794914,0.842808945817086,0.000931531088951842,1.35476228749938e-05,0,0.000931531088951842
0.73998,10.0633349618983,10.0733263547999,0.846459492069784,0.000926545263015192,9.36174990748705e-06,0,0.000931456301562792
0.75998,10.0608598881564,10.1089586071981,0.935807001703209,0.000930611401079786,8.27610870826932e-06,0,0.000931443628055547
0.77998,10.1196359685468,10.1258879558461,0.878691917553527,0.000927090720759966,1.30952755072187e-05,0,0.000931378334446113
0.79998,10.1141102007246,10.1219130640425,0.979075165939257,0.000926624618553894,1.063604778182e-05,0,0.00093130702870773
0.81998,10.1083504585857,10.0400267377229,0.805614817136459,0.000926598373246099,2.09337624638448e-05,0,0.000931236398875805
0.83998,10.0967193599628,10.0422031057483,0.963335753226608,0.000918235471897627,6.38500582984495e-06,0,0.000931041384971133
0.85998,10.0678783402527,10.0300839425412,0.905393193195372,0.000937311376496178,1.0630144601413e-05,0,0.000931135434844008
0.87998,10.0544375633604,10.0276325098868,0.951588204534613,0.000921212204537191,1.38689169408749e-05,0,0.000930986586389406
0.89998,10.080837987736,10.0271500863298,0.907532239626177,0.000927777422134311,9.83048652083725e-06,0,0.00093093844892558
0.91998,10.0597782728333,10.0289424749111,0.920894161361739,0.000935449756975466,1.30012701771797e-05,0,0.000931006118546328
0.93998,10.0123408363796,10.0137414917782,0.828268008116627,0.000932669548642706,1.69046959074621e-05,0,0.000931031069997774
0.95998,9.99854485843658,10.0242619796124,0.933114216203117,0.000926548435581085,7.52753394700637e-06,0,0.000930963830481523
0.97998,10.0090221281952,10.0204435389829,0.952260613866583,0.00092594880361368,8.0623092036485e-06,0,0.000930888605078506
0.99998,10.0069157666335,10.0434486894734,0.904593497713678,0.000922202883072179,7.46326201710031e-06,0,0.000930758319248411
1.01998,10.018078536689,10.0676756043555,0.890248353356733,0.000926243909496835,1.58401986565951e-05,0,0.000930690603102137
1.03998,10.0128118007056,10.0647862545266,0.969227231669822,0.000927890379941173,8.42489690846406e-06,0,0.000930648599754723
1.05998,10.0137172492771,10.0628001365424,0.984800920639139,0.000924957589455248,1.21449945694185e-05,0,0.00093056323460023
1.07998,10.0509958750411,10.0553120565875,0.831538412670496,0.000922464356802638,1.92720513165112e-05,0,0.000930441751433266
1.09998,10.0794513925726,10.0448559733383,0.868350239907814,0.000929491039390705,2.01378737143146e-05,0,0.000930427490752628
1.11998,10.0499801168614,10.0822446477633,0.812199275570695,0.000930635902089101,1.30800862891733e-05,0,0.000930430616922675
1.13998,10.0383599455003,10.0591592547372,0.894537584132383,0.000931122723296584,1.490710336063e-05,0,0.000930440998518284
1.15998,10.0252194155463,10.0431404436483,0.912250096749006,0.00091983949995315,1.30986255699773e-05,0,0.000930281976039807
1.17998,10.0288188438122,10.0648045556194,0.906094061056956,0.000926895227053298,9.47553297634915e-06,0,0.000930231174805009
1.19998,10.0384076466491,10.0729055147067,0.941675200089025,0.00092007307654083,1.49482982224902e-05,0,0.000930078803331046
1.21998,10.0163672407019,10.064431282685,0.894278934971353,0.000929399082926989,1.33277618313731e-05,0,0.000930068607524985
1.23998,10.0436878907029,10.0177849583455,0.789232977622966,0.000929787392823125,1.60547273760198e-05,0,0.000930064389304458
1.25998,10.0746711774175,9.99163420561895,0.846381921501062,0.000933408935417693,1.23712976305719e-05,0,0.000930114557496156
1.27998,10.1342080055573,9.97424623636453,0.788250428744904,0.000927337331665184,7.66969981698943e-06,0,0.000930072899108692
1.29998,10.1297287989443,9.98533033761176,0.951811377785586,0.000923858937873069,8.3280451394425e-06,0,0.000929979689690157
1.31998,10.13294560441,9.94052431834882,0.838570083760603,0.000920699718752964,1.32057445225494e-05,0,0.000929840490126099
1.33998,10.1566995240539,9.93763084128609,0.908798237184701,0.000931453813067549,8.44054080203215e-06,0,0.000929864689970221
1.35998,10.1545658676665,9.94669844638276,0.95874113797269,0.000927264348372963,1.73806979102582e-05,0,0.000929825684846262
1.37998,10.1696678288041,9.91708621472078,0.867581164873286,0.000932471799916656,1.12891894969382e-05,0,0.000929865376572318
1.39998,10.2000506875669,9.91235333561561,0.877986513611389,0.00092739830897917,1.12578863850499e-05,0,0.000929828370558421
1.41998,10.1969642447243,9.91563682323902,0.976237960654826,0.000929116831622713,7.23323888801183e-06,0,0.000929817697474385
1.43998,10.2275679335955,9.89348838187579,0.84527171005814,0.000918979235602372,1.01770654341302e-05,0,0.000929655120546305
1.45998,10.2512193730359,9.87507927365441,0.877438378242612,0.000914804706728729,1.36092460857877e-05,0,0.000929432364339041
1.47998,10.3168061181618,9.83527631112856,0.738587378298003,0.000932221439329441,1.25040420212304e-05,0,0.000929474200463897
1.49998,10.3637691159305,9.79054482649244,0.794009039236376,0.000925851087639372,9.49286113836817e-06,0,0.000929419853771529
1.51998,10.4110520436759,9.73080740074517,0.777509301889617,0.000934427489841698,2.39187995387339e-05,0,0.000929494968312582
1.53998,10.4158193639673,9.7410732431342,0.959159039401132,0.000924754116722513,2.03525601978171e-05,0,0.000929423855538731
1.55998,10.4658267281395,9.69010776165094,0.784859216716048,0.000932450104862406,8.24590156938454e-06,0,0.000929469249278586
1.57998,10.5067590833462,9.67465232123149,0.864316003455099,0.000924372788136332,1.16990105393211e-05,0,0.000929392802361452
1.59998,10.5496529558141,9.6361165810695,0.82686120058599,0.000926714796128487,1.27179624769518e-05,0,0.000929352632267958
1.61998,10.5850291793697,9.58806504468028,0.82489173086141,0.00092770626660329,1.13538110844626e-05,0,0.000929327936782988
1.63998,10.6104206012683,9.50808972564449,0.772758335375387,0.000928971665772715,1.17996951790674e-05,0,0.000929322592717833
1.65998,10.7068294951717,9.42385947816494,0.700576573097395,0.000929066440887652,1.29063008096287e-05,0,0.000929318750440381
1.67998,10.8156808345517,9.34986661857937,0.718861148247948,0.000924039645388734,1.45707724246961e-05,0,0.000929239563864606
1.69998,10.8791818205269,9.21370231857914,0.705645114183392,0.000924081135718633,2.04341826551165e-05,0,0.000929162187442416
1.71998,10.9891706802927,9.23024949318295,0.77883445341618,0.000920852477188661,1.61308835250648e-05,0,0.00092903754178861
1.73998,11.0831327700784,9.23461259104214,0.805867544624294,0.000926092448390569,2.01866712975023e-05,0,0.000928993365387639
1.75998,11.1597325259078,9.19034993313093,0.811281568425536,0.000928728512158909,1.58080754793007e-05,0,0.000928989392589208
1.77998,11.2163196216152,9.12935217109309,0.81681145871189,0.000924994730179061,1.41741571602789e-05,0,0.000928929472653056
1.79998,11.2759347644756,9.11748444679115,0.856561283714869,0.000928817815356121,1.34124577039266e-05,0,0.000928927797793602
1.81998,11.2967922656607,9.02599417234421,0.785211164745161,0.0009339021871396,1.69967691436535e-05,0,0.000929002413633792
1.83998,11.3277082910974,8.9522634996338,0.813947221433494,0.000927742849772906,1.52514777462006e-05,0,0.000928983520175879
1.85998,11.4485632595031,8.92048831423846,0.732307011905498,0.00093591616122174,1.92918469705145e-05,0,0.000929087509791567
1.87998,11.4583347060916,8.88727902867015,0.913066237140109,0.000929112774866702,6.71562214853008e-06,0,0.000929087888767694
1.89998,11.5204120935626,8.83483511909962,0.804299298039336,0.000929404115935104,9.1044875887673e-06,0,0.000929092632175205
1.91998,11.4843426949958,8.7942658760593,0.860955078717215,0.000920117228169921,1.11603086153101e-05,0,0.000928958001115126
1.93998,11.5285530507426,8.74649171381072,0.832452301385969,0.000927954558123758,1.14296561858962e-05,0,0.000928942949470255
1.95998,11.5769219322686,8.70517385145656,0.834202358416052,0.000924006035679592,1.20459101595155e-05,0,0.000928868895763395
1.97998,11.5929325216788,8.70840815640352,0.948741837412278,0.000930466137539606,1.16935999358484e-05,0,0.000928892854390038
1.99998,11.6277057810567,8.68516117406585,0.872658088506747,0.000920848727682253,1.18741644869379e-05,0,0.000928772192489422
2.01998,11.6659112552665,8.68574016999807,0.879776562496114,0.000925758411272181,1.40920155704731e-05,0,0.000928726985771163
2.03998,11.7846852355545,8.66262008842702,0.689362799061611,0.000929046902553391,1.78108246217102e-05,0,0.000928731784522896
2.05998,11.8529523408055,8.63460774696565,0.811049921499299,0.000925889488539246,7.55570796542669e-06,0,0.000928689150083141
2.07998,11.934746701274,8.57448534378972,0.757971240290657,0.000932285936151808,1.74056304757268e-05,0,0.000928743101874171
