variant,window,mean_fault_DeltaCs1_pF,mean_fault_DeltaCs2_pF,fault_induced_RMS_norm_pF,fault_increment_retention_ratio
M2,W1,2.47704371248209,-2.4321518421928,3.4718370829705,0.665120066769664
M2,W2,2.46995267062259,-2.45639500891175,3.48348294064061,0.663952392792073
M3,W1,2.47704371248209,-2.4321518421928,3.4718370829705,0.665120066769664
M3,W2,2.46995267062259,-2.45639500891175,3.48348294064061,0.663952392792073
A_FULL,W1,2.06794976566219,-2.06927339915762,2.93587324604029,0.71778396698863
A_FULL,W2,2.35415785715831,-2.35784854328092,3.33204926174063,0.678576328827779
A_NO_WEIGHT,W1,2.47704371248209,-2.4321518421928,3.4718370829705,0.665120066769664
A_NO_WEIGHT,W2,2.46995267062259,-2.45639500891175,3.48348294064061,0.663952392792073
A_BACKGROUND_ONLY,W1,2.06794976566219,-2.06927339915762,2.93587324604029,0.71778396698863
A_BACKGROUND_ONLY,W2,2.35415785715831,-2.35784854328092,3.33204926174063,0.678576328827779
A_FIXED_LAMBDA,W1,0.148635972423768,-0.179132496321475,0.236253011361012,0.977614276018181
A_FIXED_LAMBDA,W2,0.242874633737566,-0.297255049889111,0.386658801651109,0.963143051778393
