variant,Cs1_RMSE_pF,Cs2_RMSE_pF,B_resistive_error_pct,mean_g,USR,Cs1_tracking_lag_s,Cs2_tracking_lag_s
M2,0.157320251866564,0.108513587962671,0.354785858551665,1,0,0.12,0.04
M3,0.157320251866564,0.108513587962671,0.354785858551665,1,0,0.12,0.04
A_FULL,0.160864250687995,0.110565575803376,0.364798471276662,0.975012494194252,0.0249875058057481,0.12,0.0600000000000001
A_NO_WEIGHT,0.157320251866564,0.108513587962671,0.354785858551665,1,0,0.12,0.04
A_BACKGROUND_ONLY,0.160864250687995,0.110565575803376,0.364798471276662,0.975012494194252,0.0249875058057481,0.12,0.0600000000000001
A_FIXED_LAMBDA,1.45407022028066,1.07093372751345,4.47550874861984,0.973844210948244,0.0261557890517559,1.02,1
