variant,F_delta_Cs1_pF,F_delta_Cs2_pF,F_movement_norm_pF,CF_delta_Cs1_pF,CF_delta_Cs2_pF,CF_movement_norm_pF,fault_delta_Cs1_pF,fault_delta_Cs2_pF,fault_movement_norm_pF,cosine_CF_vs_fault
M2,-0.685592552115853,1.24295846272008,1.41950092904661,1.39422739090452,-0.889029116424499,1.65355459159924,-2.07981994302037,2.13198757914458,2.97842609997495,-0.973634630144217
M3,0,0,0,1.39422739090452,-0.889029116424499,1.65355459159924,-1.39422739090452,0.889029116424499,1.65355459159924,-1
A_FULL,0.477524545953253,0.0451537130819224,0.47965461510648,1.39662541250079,-0.88963473359388,1.6559023226204,-0.919100866547534,0.934788446675802,1.31094463762853,-0.974416589230671
A_NO_WEIGHT,-0.685592552115853,1.24295846272008,1.41950092904661,1.39422739090452,-0.889029116424499,1.65355459159924,-2.07981994302037,2.13198757914458,2.97842609997495,-0.973634630144217
A_BACKGROUND_ONLY,0.477524545953253,0.0451537130819224,0.47965461510648,1.39662541250079,-0.88963473359388,1.6559023226204,-0.919100866547534,0.934788446675802,1.31094463762853,-0.974416589230671
A_FIXED_LAMBDA,1.42919956287028,-1.08110903828555,1.79204021806747,1.1141769715028,-0.735002714919439,1.33477313232103,0.31502259136748,-0.34610632336611,0.468005149700181,0.969103102608828
