variant,fault_factor_true,fault_factor_est,retention_error_pct,fault_induced_DeltaCs1_pF,fault_induced_DeltaCs2_pF,PAR_norm,fault_mean_g,material_latency_s,ISR_J_fault,ISR_h_fault,rate_limit_cycles,projection_cycles
M2,1.60000000000009,1.40107479735965,-12.432825165027,4.88637935957825,-4.88571298691452,1,1,NaN,NaN,NaN,0,0
M3,1.60000000000009,1.58113711210521,-1.17893049343047,0.427124790489758,-0.547006073858109,0.100437009212539,0,NaN,NaN,NaN,0,0
A_FULL,1.60000000000009,1.40858033130574,-11.9637292933962,4.69523832980264,-4.71003189177103,0.962463462339369,0.360836943788128,0.0199800000000003,0.638865727340222,0.638877056590573,0,0
A_NO_WEIGHT,1.60000000000009,1.40107479735965,-12.432825165027,4.88637935957825,-4.88571298691452,1,1,NaN,0,0,0,0
A_BACKGROUND_ONLY,1.60000000000009,1.40858033130574,-11.9637292933962,4.69523832980264,-4.71003189177103,0.962463462339369,0.360836943788128,0.0199800000000003,0.638865727340223,0.638877056590573,0,0
A_FIXED_LAMBDA,1.60000000000009,1.58253523323855,-1.09154792259667,0.505815525513919,-0.505955893130023,0.103536826111921,0.342958726285561,0.0199800000000003,0.657035167485929,0.65702884660075,0,0
