variant,mean_fault_bias_RMS_norm_pF,mean_fault_increment_retention_ratio,overlap_mean_g,post_fault_memory_AUC_pF_s
M2,6.90916875965624,0.666764160777489,1,0.19231462275818
M3,0.719367922919859,0.967739000259721,0,0.259169573917293
A_FULL,5.30213585186331,0.745323123489216,0.360040960237705,0.163721044775866
A_NO_WEIGHT,6.90916875965624,0.666764160777489,1,0.19231462275818
A_BACKGROUND_ONLY,5.30213585186331,0.745323123489216,0.360040960237705,0.163721044775866
A_FIXED_LAMBDA,0.412778266598432,0.980388238306578,0.339069655726369,0.462770399986165
