variant,mean_fault_bias_RMS_norm_pF,mean_fault_increment_retention_ratio,overlap_mean_g,post_fault_memory_AUC_pF_s
M2,3.47766001180556,0.664536229780868,1,0.121775653904299
M3,3.47766001180556,0.664536229780868,1,0.121775653904299
A_FULL,3.13396125389046,0.698180147908204,0.545522942324891,0.117424474156155
A_NO_WEIGHT,3.47766001180556,0.664536229780868,1,0.121775653904299
A_BACKGROUND_ONLY,3.13396125389046,0.698180147908204,0.545522942324891,0.117424474156155
A_FIXED_LAMBDA,0.31145590650606,0.970378663898287,0.526290982300124,0.342038991593208
