time_s,Cs1_true_pF,Cs2_true_pF,Cs1_fixed_pF,Cs2_fixed_pF,Cs1_NLMS_pF,Cs2_NLMS_pF,Cs1_CVFF_RLS_pF,Cs2_CVFF_RLS_pF
0,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.02,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.04,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.06,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.08,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.1,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.12,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.14,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.16,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.18,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.2,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.22,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.24,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.26,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.28,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.3,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.32,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.34,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.36,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.38,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.4,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.42,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.44,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.46,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.48,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.5,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.52,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.54,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.56,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.58,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.6,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.62,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.64,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.66,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.68,10,10,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114,9.9942904134352,10.0031345252114
0.7,10,10,9.9942904134352,10.0031345252114,9.97383612821196,10.0120134430962,9.9470838181922,10.023410781363
0.72,10,10,9.9942904134352,10.0031345252114,10.0250188968922,10.0021352997143,10.0487174605769,10.0017674368896
0.74,10,10,9.9942904134352,10.0031345252114,9.99254339645814,9.99525910889813,9.99444532159657,9.9916901059091
0.76,10,10,9.9942904134352,10.0031345252114,9.99262778573082,9.97722390077756,9.99412560458198,9.97059152398036
0.78,10,10,9.9942904134352,10.0031345252114,10.025001559675,9.94504881875477,10.0294150605302,9.93652166899246
0.8,10,10,9.9942904134352,10.0031345252114,9.99520813119885,9.95706132216934,9.99911395903594,9.94993199947737
0.82,10,10,9.9942904134352,10.0031345252114,9.99300067249183,9.95548923763249,9.99664067026625,9.94968574456157
0.84,10,10,9.9942904134352,10.0031345252114,10.0308037735528,9.93711891868814,10.026787411896,9.93561941939631
0.86,10,10,9.9942904134352,10.0031345252114,10.0155668932321,9.87708558110834,10.01486324006,9.88655552507953
0.88,10,10,9.9942904134352,10.0031345252114,9.99066867814781,9.96234206678235,9.99292990234662,9.96049384698035
0.9,10,10,9.9942904134352,10.0031345252114,9.98273211502607,9.99092524157885,9.98608918983952,9.9841868207111
0.92,10,10,9.9942904134352,10.0031345252114,10.0341761070788,9.963216956952,10.0277105700307,9.96248557999038
0.94,10,10,9.9942904134352,10.0031345252114,10.0272279738257,9.97575004380043,10.023434413714,9.971842924851
0.96,10,10,9.9942904134352,10.0031345252114,10.0461397275888,9.98044640194703,10.0368654180365,9.97554270130758
