algorithm_mode,gate_start_s,gate_end_s,gate_duration_s,true_delta_Cs1_pF,true_delta_Cs2_pF,F_delta_Cs1_pF,F_delta_Cs2_pF,drift_capture_ratio_Cs1,drift_capture_ratio_Cs2,CF_delta_Cs1_pF,CF_delta_Cs2_pF,fault_induced_delta_Cs1_pF,fault_induced_delta_Cs2_pF,F_movement_norm_pF,CF_drift_movement_norm_pF,fault_induced_movement_norm_pF,drift_adaptation_purity
M2,1.55998,2.39998,0.84,1.30767897391835,-0.871785982612233,-0.685592552115853,1.24295846272008,0.52428200329744,1.4257610095951,1.39422739090452,-0.889029116424499,-2.07981994302037,2.13198757914458,1.41950092904661,1.65355459159924,2.97842609997495,1.16488447296039
M3,1.55998,2.39998,0.84,1.30767897391835,-0.871785982612233,0,0,0,0,1.39422739090452,-0.889029116424499,-1.39422739090452,0.889029116424499,0,1.65355459159924,1.65355459159924,NaN
M4,1.55998,2.39998,0.84,1.30767897391835,-0.871785982612233,0.477524545953253,0.0451537130819224,0.365169552678813,0.0517944931239008,1.39662541250079,-0.88963473359388,-0.919100866547534,0.934788446675802,0.47965461510648,1.6559023226204,1.31094463762853,3.45228060039161
