branch,algorithm_mode,window,Cs1_RMSE_pF,Cs2_RMSE_pF,Cs1_mean_error_pF,Cs2_mean_error_pF,Cs1_endpoint_error_pF,Cs2_endpoint_error_pF,parameter_error_RMS_norm_pF,endpoint_error_norm_pF
F,M2,W0,0.336851671516642,0.248607617351099,-0.33084345852601,0.245124697083573,-0.23778552063931,0.214496987627969,0.418658328483438,0.32023571244816
F,M2,W1,4.7030782349111,4.74650141557316,4.70236324999397,-4.74468664049017,4.76511403286338,-4.85609444266018,6.68193239802174,6.8035259228011
F,M2,W2,4.73694972601385,4.77536980169484,4.73638571799447,-4.77517457241566,4.6783873311394,-4.74414345286137,6.72628050632158,6.66289765203496
F,M2,W3,0.386592494795662,0.376953464887701,0.260315841953239,-0.189724834599227,0.066962932754274,0.0445805503922294,0.539951545717926,0.0804453841828574
F,M2,W4,0.0692507841176747,0.0441009679389691,-0.0583357093781989,0.00834487746992774,-0.0809057623162488,0.0676434458692885,0.0821009529425019,0.105457944911916
F,M3,W0,0.336851671516642,0.248607617351099,-0.33084345852601,0.245124697083573,-0.23778552063931,0.214496987627969,0.418658328483438,0.32023571244816
F,M3,W1,0.348081410638385,0.631699483171045,0.332235290589504,-0.627895657721658,0.155463247408729,-0.510047628934475,0.72125231748021,0.533214220624833
F,M3,W2,0.108819546919208,0.391726702105652,-0.03133305629242,-0.385516759800375,-0.204793037938209,-0.269876772036516,0.406560577201322,0.338782615363909
F,M3,W3,0.531588262999,0.0667588377222458,-0.52835621943965,-0.0541679843688885,-0.601569451145206,-0.00535916323185059,0.535763776091962,0.601593322088677
F,M3,W4,0.184255068561582,0.0635239961471635,-0.135166500454872,-0.0106233082656653,-0.0919095622737895,0.0714311429796766,0.194897994800193,0.116403504349064
F,M4,W0,0.338052102955573,0.249183026495,-0.332169600244273,0.245737212451671,-0.237183774700529,0.21427368268408,0.419965956960673,0.319639412576405
F,M4,W1,3.03685638045158,3.16583723854944,3.00736604092785,-3.13472295586899,3.55546342885067,-3.70700545268564,4.38691487226226,5.13645885996721
F,M4,W2,4.05575582880856,4.15598197663862,4.05230109126188,-4.15221784053011,4.28461422220438,-4.38854841655736,5.80700796736663,6.13329244676823
F,M4,W3,0.282438963333525,0.278454164857597,0.191908042037535,-0.117766347522885,0.0581210777569936,0.0549907946624248,0.396621343267679,0.0800127938347329
F,M4,W4,0.0694559297175921,0.0439067034705145,-0.0587996848397476,0.00922224464059775,-0.0811496846981168,0.067830470446685,0.0821700966445999,0.105765041708602
