algorithm_mode,window,mean_memory_norm_pF,endpoint_memory_norm_pF,post_fault_AUC_pF_s
M2,W3,0.58593217831442,0.160742501582512,0.19231462275818
M2,W4,0.00772765973982764,0.00178704606011707,0.19231462275818
M3,W3,0.440198540222898,0.557206226158896,0.259169573917293
M3,W4,0.0758893851138232,0.00996505258181035,0.259169573917293
M4,W3,0.489494281133284,0.148964766827753,0.163721044775866
M4,W4,0.00737220230039223,0.00176854510532119,0.163721044775866
