case_name,algorithm_mode,DeltaCs1_abs_reduction_vs_M2_pF,DeltaCs2_abs_reduction_vs_M2_pF,DeltaCs1_relative_reduction_vs_M2,DeltaCs2_relative_reduction_vs_M2,parameter_absorption_ratio_Cs1,parameter_absorption_ratio_Cs2,achieved_to_static_bias_ratio_Cs1,achieved_to_static_bias_ratio_Cs2,retention_abs_error_reduction_vs_M2_pct_point
Case05_fault_only,M3,4.45925456908849,4.33870691305641,0.912588696239372,0.888039662722071,0.0874113037606282,0.111960337277929,0.087407284410363,0.111939921391813,11.2538946715966
Case05_fault_only,M4,0.191141029775604,0.175681095143486,0.0391171081305693,0.0359581284479902,0.960882891869431,0.96404187155201,0.960838708511671,0.963866079217515,0.469095871630797
Case06_drift_then_fault,M3,4.44515599794592,4.36109531541397,0.909324554398807,0.893357900926504,0.0906754456011934,0.106642099073496,0.0907090535556228,0.106534833071008,11.2879868244226
Case06_drift_then_fault,M4,0.18203876068157,0.176177732384343,0.0372388089454163,0.036089504541803,0.962761191054584,0.963910495458197,0.963118028939646,0.962940945660299,0.461613454326601
