case_name,hard_gate_onset_s,hard_gate_latency_s,hard_gate_active_ratio,hard_gate_active_cycles
Case05_fault_only,3.05998,0.0599800000000004,0.96,48
Case06_drift_then_fault,3.05998,0.0599800000000004,0.96,48
