case_name,valid_direction_ratio,valid_direction_cycles,total_cycles,mean_cos_local_fault,median_cos_local_fault,P05_cos_local_fault,P95_cos_local_fault,mean_abs_cos_local_fault,mean_cos_raw_fault,median_cos_raw_fault,P05_cos_raw_fault,P95_cos_raw_fault,mean_abs_cos_raw_fault
Case01_static,1,165,165,0.49816548499803,0.778728346527541,-0.860260536895435,0.998985991834301,0.732104718665082,0.498284071688253,0.779802676407366,-0.8614314427432,0.999056607617939,0.732080066899318
Case02_slow_drift,1,165,165,0.628382165746353,0.904476079201672,-0.700322133467722,0.99868938049934,0.754815241080794,0.628340832170249,0.903371932585779,-0.698655070022511,0.998674230579442,0.754551678154759
Case03_smooth_step,1,165,165,0.45057016627598,0.730665959642749,-0.900245683540699,0.998697124331071,0.740777704024803,0.450524941932557,0.73189734180736,-0.901294720021087,0.998853824066235,0.740941854148241
Case04_random_drift,1,165,165,0.583476855495264,0.750829488204244,-0.516171411596854,0.998649363535378,0.691018580618616,0.583522030748176,0.750132438695544,-0.515669041254987,0.998661724263132,0.690950464504519
