parameter,true_pre_pF,true_post_pF,true_change_pF,no_gate_pre_pF,no_gate_post_pF,no_gate_change_pF,gated_pre_pF,gated_post_pF,gated_change_pF,no_gate_post_abs_error_pF,gated_post_abs_error_pF
Cs1,13,13,0,12.942172867184,17.948443794359,5.00627092717497,12.942172867184,13.5032877964131,0.561114929229058,4.94844379435899,0.503287796413078
Cs2,8,8,0,8.05693901602591,3.0795910695191,-4.97734794650682,8.05693901602591,7.44068638493307,-0.616252631092842,4.9204089304809,0.559313615066929
