window,cycle_count,valid_cycle_count,valid_direction_ratio,mean_cos_local_fault,median_cos_local_fault,P05_cos_local_fault,P95_cos_local_fault,mean_abs_cos_local_fault,mean_cos_raw_fault,median_cos_raw_fault,P05_cos_raw_fault,P95_cos_raw_fault,mean_abs_cos_raw_fault
W0,12,12,1,0.890159653343638,0.915222816614308,0.590716794962922,0.999527148001983,0.890159653343638,0.890041244760497,0.9155424993266,0.590119347015516,0.999507510577448,0.890041244760497
W1,6,6,1,0.990161136912231,0.996335328211902,0.966150482809773,0.999965725031722,0.990161136912231,0.990158177643723,0.996319922542303,0.966081044664999,0.999963153252137,0.990158177643723
W2,7,7,1,0.853770982324994,0.957168766153819,0.412827200783267,0.999310317761743,0.853770982324994,0.853780737918604,0.956388045101982,0.414356386656292,0.999286563719041,0.853780737918604
W3,10,10,1,0.636672185206839,0.882056546756576,-0.36037602431702,0.998877756305349,0.756682304203984,0.636284400551726,0.882544296123468,-0.360242615366951,0.998887027812427,0.756500488362385
