case_name,mean_update_weight,unnecessary_suppression_ratio,min_update_weight,P05_update_weight,P50_update_weight,P95_update_weight,fraction_g_below_0p99,fraction_g_below_0p95,fraction_g_below_0p90,information_suppression_ratio_J,information_suppression_ratio_h,rms_information_suppressed_DeltaCs1_pF,rms_information_suppressed_DeltaCs2_pF,max_information_suppressed_DeltaCs_pF,USR_closure_abs_error,rate_limit_cycles,projection_cycles
Case01_static,0.980272098126595,0.019727901873405,0.887006802340511,0.92727703358536,0.996611690281412,1,0.448484848484848,0.145454545454545,0.0181818181818182,0.0205483727079719,0.0205341084769863,0.000825330968248667,0.00070254680330583,0.00408756213073325,1.73472347597681e-17,0,0
Case02_slow_drift,0.975012494194252,0.0249875058057481,0.874910752931476,0.922239548985197,0.986992397132884,1,0.533333333333333,0.23030303030303,0.0181818181818182,0.0254219295168705,0.0250674720931657,0.00221590066394481,0.00167311217150572,0.0200021931311767,1.42247325030098e-16,0,0
Case03_smooth_step,0.984192238157561,0.0158077618424386,0.901517273368379,0.931450887436338,1,1,0.393939393939394,0.121212121212121,0,0.0159780986149241,0.0159222416311671,0.00134045732851692,0.00121228099049707,0.0147325386024324,3.46944695195361e-17,0,0
Case04_random_drift,0.991763937660105,0.00823606233989529,0.922234473722623,0.961684763576327,1,1,0.260606060606061,0.0242424242424242,0,0.00844970907170026,0.00835797358245125,0.00216774724920141,0.00143746001628283,0.0244522850673015,2.60208521396521e-17,0,0
