case_name,algorithm_mode,Cs1_RMSE_pF,Cs2_RMSE_pF,Cs1_max_abs_error_pF,Cs2_max_abs_error_pF,B_resistive_fundamental_error_pct,mean_update_weight,unnecessary_suppression_ratio,hard_gate_active_ratio
Case01_static,M2,0.0403700332714824,0.0392949592309686,0.0968432145754701,0.0940844903009523,-0.0356104136452334,NaN,NaN,NaN
Case01_static,M3,0.0403700332714824,0.0392949592309686,0.0968432145754701,0.0940844903009523,-0.0356104136452334,NaN,NaN,0
Case01_static,M4,0.0398135740695952,0.0392580661743742,0.0963016493513287,0.0922594093711471,-0.0347424421966758,0.980272098126595,0.019727901873405,NaN
Case02_slow_drift,M2,0.157320251866564,0.108513587962671,0.378823232843194,0.269200680101919,0.354785857594943,NaN,NaN,NaN
Case02_slow_drift,M3,0.157320251866564,0.108513587962671,0.378823232843194,0.269200680101919,0.354785857594943,NaN,NaN,0
Case02_slow_drift,M4,0.160864250687995,0.110565575803376,0.388027862287124,0.271502877800175,0.364798470318131,0.975012494194252,0.0249875058057481,NaN
Case03_smooth_step,M2,0.229793399392609,0.180056382911693,1.63539263049026,1.19728760432758,0.164191931440372,NaN,NaN,NaN
Case03_smooth_step,M3,0.229793399392609,0.180056382911693,1.63539263049026,1.19728760432758,0.164191931440372,NaN,NaN,0
Case03_smooth_step,M4,0.23123606534889,0.181170753850543,1.64027254572626,1.20174310150588,0.166911075921777,0.984192238157561,0.0158077618424386,NaN
Case04_random_drift,M2,0.269284939950018,0.209895364466292,1.05924493807239,0.762947963144269,-0.0876051992883654,NaN,NaN,NaN
Case04_random_drift,M3,0.269284939950018,0.209895364466292,1.05924493807239,0.762947963144269,-0.0876051992883654,NaN,NaN,0
Case04_random_drift,M4,0.270183309598212,0.210839235678711,1.05912500405099,0.761986075035781,-0.0870824765136304,0.991763937660105,0.00823606233989529,NaN
