time_s,Cs1_pF,Cs2_pF,lambda,E_in,E_quad,gate,base_in
0.71998,9.94708381819218,10.023410781363,0.939796148781224,0.000924657671367557,1.21977597946109e-05,0,0.000924657671367557
0.73998,10.0487174605768,10.0017674368896,0.853567345006753,0.000924775030309093,1.65622588254349e-05,0,0.00092465943175168
0.75998,9.99444532159654,9.99169010590908,0.902446155049721,0.000930008845401868,1.1254709669053e-05,0,0.000924739672956433
0.77998,9.99412560458195,9.97059152398034,0.951845004901738,0.000937085029405252,8.2359315149994e-06,0,0.000924924853303165
0.79998,10.0294150605302,9.93652166899244,0.884705139011179,0.000929528759280921,6.66756280245153e-06,0,0.000924993911892832
0.81998,9.99911395903592,9.94993199947735,0.912217714034633,0.000937399453866483,1.04537781813303e-05,0,0.000925179995022436
0.83998,9.99664067026623,9.94968574456155,0.987604978072843,0.000922246453890814,6.61551677118276e-06,0,0.000925135991905462
0.85998,10.026787411896,9.93561941939629,0.893736954328358,0.000930775507903815,6.75362644120085e-06,0,0.000925220584645437
0.87998,10.01486324006,9.88655552507952,0.842777988127427,0.000929274205447956,1.77916879886303e-05,0,0.000925281388957475
0.89998,9.9929299023466,9.96049384698033,0.779651736914091,0.000920502862732025,1.24891040519152e-05,0,0.000925209711064093
0.91998,9.9860891898395,9.98418682071108,0.920698096145013,0.0009279954895548,1.27687466253847e-05,0,0.000925251497741454
0.93998,10.0277105700307,9.96248557999036,0.853331448453664,0.00093538476972404,1.46470533559803e-05,0,0.000925403496821193
0.95998,10.0234344137139,9.97184292485098,0.960650790182974,0.000931540917078787,1.59095497362653e-05,0,0.000925495558125057
0.97998,10.0368654180365,9.97554270130755,0.944935820957571,0.000933010825315385,8.76215184819779e-06,0,0.000925608287132912
0.99998,10.0383882758778,9.99781021347195,0.911822319151018,0.00092325384741287,1.11702645547347e-05,0,0.000925572970537111
1.01998,10.0422957773822,9.9756977940094,0.908721650862823,0.000918356405955229,9.32525534084513e-06,0,0.000925464722068383
1.03998,9.98547662397468,9.99086624538409,0.790378872751403,0.000922346683418204,1.76506028816427e-05,0,0.00092541795148863
1.05998,10.0041587334493,9.97283967041625,0.902006305821579,0.000924559105957825,8.39349645740862e-06,0,0.000925405068805668
1.07998,9.97791717949684,10.0174283982487,0.820040823077242,0.00093168065868078,1.95700221866866e-05,0,0.000925499202653795
1.09998,9.97923705021123,10.0275061514409,0.957712521236542,0.000931895362966105,1.29001351742885e-05,0,0.000925595145058479
1.11998,10.0415815803233,10.0277685501153,0.786671903286445,0.000922194112582969,1.35299342116092e-05,0,0.000925544129571347
1.13998,10.0442502504221,10.0363838719042,0.962152884845047,0.000924618985843532,1.9122124422375e-05,0,0.000925530252415429
1.15998,10.0382464323334,10.0421800045696,0.961888273270439,0.000931456222785245,1.15537332191557e-05,0,0.000925619141970977
1.17998,10.0188440476236,10.0001685275047,0.823128424265991,0.000927716935729709,1.68836283431328e-05,0,0.000925650608877358
1.19998,10.0020577290203,10.0175487677569,0.903265461777238,0.00092673360054983,1.13721983124387e-05,0,0.000925666853752445
1.21998,9.99418055104315,9.98977458414742,0.884989493290291,0.000930505163753952,1.11637402867373e-05,0,0.000925739428402467
1.23998,10.0230680367231,9.99791579057552,0.881178804658157,0.000923826057629055,1.73026170427041e-05,0,0.000925710727840866
1.25998,9.9718274815294,9.96844607167414,0.790969304656779,0.000939179802160837,2.04810792934171e-05,0,0.000925912763955666
1.27998,10.0239734550442,9.96533466445323,0.823500999380592,0.000921433175855237,1.20463109525429e-05,0,0.000925845570134159
1.29998,10.0194374728236,9.94069356865565,0.908882730426506,0.000926372011095439,9.52283633477018e-06,0,0.000925853466748579
1.31998,9.98147049332633,9.98756130233564,0.802178433899663,0.000922851319479233,7.5466521085256e-06,0,0.000925808434539538
1.33998,9.96525744197936,10.0366184340893,0.834278142451607,0.000931011253753968,1.3573873810675e-05,0,0.000925886476827755
1.35998,9.95154147128545,10.0133266994469,0.906524418937172,0.000929296407692017,1.22601311717789e-05,0,0.000925937625790719
1.37998,9.95540664239095,9.99113385748796,0.917364077973529,0.000926896626082606,1.29283561994096e-05,0,0.000925952010795097
1.39998,9.9525711882138,9.97826625159548,0.946069148571369,0.000931889324727731,2.09236176205143e-05,0,0.000926041070504086
1.41998,9.9517087389748,9.98353199323953,0.973520599727214,0.000935213229666638,8.77009430753109e-06,0,0.000926178652891525
1.43998,9.95940973252727,9.99761068279501,0.927781351186805,0.000925717734639658,1.35744220061502e-05,0,0.000926171739117747
1.45998,9.95486135545533,10.0064857247399,0.950795891517513,0.000930711656101559,1.46519673739689e-05,0,0.000926239837872504
1.47998,9.95958200573038,10.0244081010713,0.911900342078888,0.000926885451136629,1.21884597120885e-05,0,0.000926249522071466
1.49998,10.0105243548274,9.94436251194352,0.668002188038462,0.000925555924052318,1.98362257074539e-05,0,0.000926239118101179
1.51998,10.158221748818,9.82370408945141,0.55,0.000925994109691627,1.862365835825e-05,0,0.000926235442975035
1.53998,10.5613904599813,9.5040025741196,0.55,0.000934435962566104,2.85241748886799e-05,0,0.000926358450768901
1.55998,11.1199177617067,9.06813966016513,0.55,0.000929268858491198,3.81931835558895e-05,0,0.000926402106884736
1.57998,11.8187480763041,8.42970655424178,0.55,0.00092993518686306,4.70925163915283e-05,0,0.000926455103084411
1.59998,12.5953025675214,7.84619026069744,0.55,0.000919939171248212,4.40706141539542e-05,0,0.000926357364106868
1.61998,13.2749569248285,7.14565472712224,0.55,0.00092675774667539,3.81996730756464e-05,0,0.000926363369845395
1.63998,14.0310701938379,6.78468668815875,0.55,0.000931466621107561,3.85214624467143e-05,0,0.000926439918614328
1.65998,14.5691653419119,6.50319538603415,0.55,0.000926594284924957,2.3452958150389e-05,0,0.000926442234108987
1.67998,14.7708402483035,6.18675205570118,0.600583193531725,0.000925558523869012,2.13712110658084e-05,0,0.000926428978455388
1.69998,14.827398516102,6.17458383454034,0.913901596979038,0.00092393185831461,8.9088942530683e-06,0,0.000926391521653276
1.71998,14.859930017524,6.12212014396589,0.890356213070956,0.000930148169374253,1.31082475659137e-05,0,0.000926447871369091
1.73998,14.8875434543778,6.18365617698684,0.866019554508381,0.000926843174034831,1.39547534165724e-05,0,0.000926453800909077
1.75998,14.885858597241,6.16633709236741,0.955362466136842,0.000930352055076586,6.00583167514758e-06,0,0.000926512274721589
1.77998,14.989669671954,6.18070374546587,0.766031320017309,0.000939745797714404,2.0145573263662e-05,0,0.000926710777566481
1.79998,14.9945398827977,6.18120237505475,0.982568393426004,0.000931140425674377,9.9653246905573e-06,0,0.0009267772222881
1.81998,15.0027889122396,6.15381704814277,0.914466474530888,0.000932345789147023,1.03277863835628e-05,0,0.000926860750790984
1.83998,14.9762226706836,6.08923148011493,0.805377870159697,0.00091646601754222,1.56012729671417e-05,0,0.000926704829792252
1.85998,14.9410848293889,6.11894215952237,0.866215019897734,0.000936187743203172,9.13474420861379e-06,0,0.000926847073493416
1.87998,14.942699956351,6.12730737976309,0.968241174724494,0.000933313142794593,9.71209650503292e-06,0,0.000926944064532934
1.89998,14.9525964706181,6.16950588571586,0.858524918934711,0.000923929685767454,1.35243802470738e-05,0,0.000926898848851451
1.91998,14.9754695812175,6.16828474260579,0.918742887748733,0.000929111325150487,1.28373475944296e-05,0,0.000926932035995937
1.93998,14.976218069026,6.07552173778081,0.728107837341212,0.000931619584265485,2.40684540344588e-05,0,0.00092700234921998
1.95998,14.9923247061639,6.0778175534562,0.943842571400025,0.000922824337978686,1.39273185502295e-05,0,0.00092693967905136
1.97998,15.0095560318515,5.97735861568155,0.718286097487798,0.000936033725191198,1.74713309310472e-05,0,0.000927076089743458
