time_s,Cs1_pF,Cs2_pF,lambda,E_in,E_quad,gate,base_in
0.71998,10.39942906772,9.54228384328678,0.58602541180981,0.000932292433027843,1.96945057888968e-05,0,0.000932292433027843
0.73998,10.4192945001491,9.51198311195544,0.950019806799513,0.000925186360679176,1.38993367637596e-05,0,0.000932185841942613
0.75998,10.3761476140709,9.36824130286548,0.782434558619528,0.000939201843827707,1.67291775625227e-05,0,0.000932291081970889
0.77998,10.3733740369857,9.28530545072963,0.857256803740407,0.000924624191151443,1.23515364397335e-05,0,0.000932176078608597
0.79998,10.4061797576887,9.13637740360032,0.739923785946919,0.000929465951164211,1.56284114413199e-05,0,0.000932135426696932
0.81998,10.4879961641341,9.1237802607868,0.841762418827317,0.000934737821171564,1.46022874870897e-05,0,0.000932174462614051
0.83998,10.5530281277419,9.11442522474966,0.861080660759299,0.000928379574191478,8.89633682804227e-06,0,0.000932117539287712
0.85998,10.8377218066971,9.04792731462668,0.55,0.000931730957183196,2.39913342089003e-05,0,0.000932111740556145
0.87998,10.9362422044081,9.05814064568998,0.823288350373176,0.000923820982642324,1.43738720618347e-05,0,0.000931987379187437
0.89998,11.2179057872152,9.04527021468629,0.583943474048002,0.000927050588381682,2.98769139730788e-05,0,0.000931913327325351
0.91998,11.3194228074013,9.18166099497826,0.736815455137641,0.000926938786890405,2.01322186090898e-05,0,0.000931838709218827
0.93998,11.4565408319097,9.05032606462559,0.706672407839677,0.000929206411967069,1.86967373656935e-05,0,0.00093179922476005
0.95998,11.3623234658117,9.06557505704754,0.831821826195565,0.00093048008179194,1.62295580487071e-05,0,0.000931779437615529
0.97998,11.3204811725501,8.94736547780701,0.773392484391831,0.000929602400629322,1.69467488079837e-05,0,0.000931746782060736
0.99998,11.3319218991136,8.92620954784854,0.944170707558843,0.000929032714776535,6.59844059314793e-06,0,0.000931706071051473
1.01998,11.3442844703627,8.87909323326594,0.882453521618085,0.000924301225722761,1.12655265697331e-05,0,0.000931594998371542
1.03998,11.3444355589018,8.85721991953369,0.937786311136897,0.00092735494194384,1.13007637445105e-05,0,0.000931531397525126
1.05998,11.3487834077506,8.83322015668122,0.92516117484354,0.000923131508028378,8.07563753068908e-06,0,0.000931405399182675
1.07998,11.3429005802292,8.84090154773091,0.964002465614414,0.000931145595998679,8.33465243175232e-06,0,0.000931401502134915
1.09998,11.3277525295315,8.86163049401117,0.908848043767641,0.000922917479753257,8.73835777598558e-06,0,0.00093127424179919
1.11998,11.325742915857,8.90404814277903,0.854454647189889,0.000934587816788716,1.72105407677198e-05,0,0.000931323945424033
1.13998,11.3559708357264,8.9181360648841,0.882839079133441,0.000926690526121688,1.1487853708804e-05,0,0.000931254444134498
1.15998,11.303387010533,8.92715462978406,0.823176936541296,0.000915453399850719,9.12253761473339e-06,0,0.000931017428470241
