branch,algorithm_mode,window,Cs1_RMSE_pF,Cs2_RMSE_pF,Cs1_mean_error_pF,Cs2_mean_error_pF,Cs1_endpoint_error_pF,Cs2_endpoint_error_pF,parameter_error_RMS_norm_pF,endpoint_error_norm_pF
F,M2,W0,0.336851671516642,0.248607617351099,-0.33084345852601,0.245124697083573,-0.23778552063931,0.214496987627969,0.418658328483438,0.32023571244816
F,M2,W1,2.29954491968161,2.34037121738627,2.29920350579671,-2.33887111017856,2.31766175097361,-2.40767156101307,3.28104316838465,3.34192135419689
F,M2,W2,2.28801002203815,2.32900208835148,2.28689995029674,-2.32861809977256,2.23007349570703,-2.29768457796851,3.26484924437447,3.20196536772172
F,M2,W3,0.168004119978897,0.173092109941926,0.114729040020253,-0.0484152414569525,0.0432297465773051,0.0655124069581028,0.24121828880504,0.0784900404801915
F,M2,W4,0.0702781977485673,0.0438988776698935,-0.0593097774767278,0.00946837306771665,-0.08109612196378,0.0678842959560839,0.0828621538427736,0.105758492023182
F,M3,W0,0.336851671516642,0.248607617351099,-0.33084345852601,0.245124697083573,-0.23778552063931,0.214496987627969,0.418658328483438,0.32023571244816
F,M3,W1,2.29954491968161,2.34037121738627,2.29920350579671,-2.33887111017856,2.31766175097361,-2.40767156101307,3.28104316838465,3.34192135419689
F,M3,W2,2.28801002203815,2.32900208835148,2.28689995029674,-2.32861809977256,2.23007349570703,-2.29768457796851,3.26484924437447,3.20196536772172
F,M3,W3,0.168004119978897,0.173092109941926,0.114729040020253,-0.0484152414569525,0.0432297465773051,0.0655124069581028,0.24121828880504,0.0784900404801915
F,M3,W4,0.0702781977485673,0.0438988776698935,-0.0593097774767278,0.00946837306771665,-0.08109612196378,0.0678842959560839,0.0828621538427736,0.105758492023182
F,M4,W0,0.338052102955573,0.249183026495,-0.332169600244273,0.245737212451671,-0.237183774700529,0.21427368268408,0.419965956960673,0.319639412576405
F,M4,W1,1.8970331614158,1.98519832159314,1.88810114562428,-1.97372321114697,2.09858084976356,-2.21251274167303,2.74586000946288,3.04946785768597
F,M4,W2,2.17110622217327,2.22915461611302,2.17068836988872,-2.22903722677541,2.14511848768874,-2.22767357235957,3.11172500881705,3.09258191018658
F,M4,W3,0.148983960670826,0.158675626344516,0.101697006097967,-0.0357808690861505,0.0412360860492118,0.0682386276193654,0.217656093259506,0.0797303273041847
F,M4,W4,0.0704634579289853,0.0438045728324191,-0.0597238285488641,0.00993257432225333,-0.0813316178548984,0.067980318892138,0.0829695094859605,0.106000734995433
