algorithm_mode,window,mean_delta_Cs1_fault_pF,mean_delta_Cs2_fault_pF,RMS_delta_Cs1_fault_pF,RMS_delta_Cs2_fault_pF,RMS_delta_norm_pF,endpoint_delta_Cs1_fault_pF,endpoint_delta_Cs2_fault_pF,endpoint_delta_norm_pF,maximum_delta_norm_pF,cosine_with_true_drift,mean_parallel_signed_pF,RMS_parallel_pF,RMS_perpendicular_pF
M2,W0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
M2,W1,2.47704371248209,-2.4321518421928,2.47715714276389,2.43255939716649,3.4718370829705,2.49082405357175,-2.46897162454737,3.50713919721925,3.50713919721925,0.982332978048521,3.41014005417224,3.41042156403766,0.650136513538588
M2,W2,2.46995267062259,-2.45639500891175,2.46997143909601,2.45639868258067,3.48348294064061,2.45823384761431,-2.45131635521961,3.47157968696151,3.50184082999461,0.981116685911558,3.41768764004215,3.41770324721337,0.673763988145151
M2,W3,0.302038226598106,-0.23510902200834,0.354750001824836,0.296611897714176,0.462413431531058,0.106547020028568,-0.0732234390156634,0.129282402121281,1.00203786889727,0.997304992068064,0.3817260159846,0.458289370475136,0.0616200825204781
M2,W4,0.00560743213004464,-0.00290376782907327,0.00722701770707651,0.00357081364785126,0.00806104801164691,0.00121749477511202,-0.000859822228484575,0.00149049917545138,0.0185578942121279,0.993935999316001,0.00627638613886311,0.00798616477474831,0.0010962058368057
M3,W0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
M3,W1,2.47704371248209,-2.4321518421928,2.47715714276389,2.43255939716649,3.4718370829705,2.49082405357175,-2.46897162454737,3.50713919721925,3.50713919721925,0.982332978048521,3.41014005417224,3.41042156403766,0.650136513538588
M3,W2,2.46995267062259,-2.45639500891175,2.46997143909601,2.45639868258067,3.48348294064061,2.45823384761431,-2.45131635521961,3.47157968696151,3.50184082999461,0.981116685911558,3.41768764004215,3.41770324721337,0.673763988145151
M3,W3,0.302038226598106,-0.23510902200834,0.354750001824836,0.296611897714176,0.462413431531058,0.106547020028568,-0.0732234390156634,0.129282402121281,1.00203786889727,0.997304992068064,0.3817260159846,0.458289370475136,0.0616200825204781
M3,W4,0.00560743213004464,-0.00290376782907327,0.00722701770707651,0.00357081364785126,0.00806104801164691,0.00121749477511202,-0.000859822228484575,0.00149049917545138,0.0185578942121279,0.993935999316001,0.00627638613886311,0.00798616477474831,0.0010962058368057
M4,W0,0,0,0,0,0,0,0,0,0,NaN,0,0,0
M4,W1,2.06794976566219,-2.06927339915762,2.07530961768896,2.07664193050776,2.93587324604029,2.27441293611143,-2.27619200454874,3.21776385794897,3.21776385794897,0.980517881520307,2.86846457175149,2.87867506982364,0.576698846184877
M4,W2,2.35415785715831,-2.35784854328092,2.35426589278156,2.35796191418601,3.33204926174063,2.37271432880556,-2.38160690318025,3.36181866366927,3.36181866366927,0.980426766694679,3.26667678759364,3.2668289825137,0.656034055270747
M4,W3,0.290194901206746,-0.224075262227285,0.337228793817528,0.280494076973609,0.438634456691328,0.105469415353829,-0.0717221666231964,0.127545547786679,0.939935440416302,0.997583958298053,0.365751344891128,0.43469882348599,0.0586269516246053
M4,W4,0.00541899533271533,-0.00302533330964239,0.00691665077948541,0.0036909492509468,0.00783984466545246,0.00121715850377946,-0.00093195297574411,0.00153297461568056,0.0180635954643675,0.996895131667049,0.00618702964210653,0.00779698069875826,0.000818691859986596
