algorithm_mode,overlap_parameter_tracking_error_pF,counterfactual_overlap_tracking_error_pF,mean_abs_retention_ratio_error,overlap_fault_induced_RMS_norm_pF,fault_bias_cosine_with_true_drift,fault_bias_apparently_improves_tracking
M2,3.27233332132698,0.222463982681233,0.335463770219132,3.47811277483677,0.981681991720983,0
M3,3.27233332132698,0.222463982681233,0.335463770219132,3.47811277483677,0.981681991720983,0
M4,2.94851084790646,0.22394866864434,0.301819852091796,3.15538582645798,0.980465918516853,0
