algorithm_mode,window,mean_memory_norm_pF,endpoint_memory_norm_pF,post_fault_AUC_pF_s
M2,W3,0.383799493674076,0.129282402121281,0.121775653904299
M2,W4,0.00632880773999917,0.00149049917545138,0.121775653904299
M3,W3,0.383799493674076,0.129282402121281,0.121775653904299
M3,W4,0.00632880773999917,0.00149049917545138,0.121775653904299
M4,W3,0.367722384324444,0.127545547786679,0.117424474156155
M4,W4,0.00621667370182466,0.00153297461568056,0.117424474156155
