algorithm_mode,pre_behavior,overlap_behavior,release_recovery_definition,protection_onset_s,hard_gate_active_ratio_overlap,mean_update_weight_overlap,mean_update_suppression_overlap,release_or_recovery_time_s,release_or_recovery_latency_s
M2,full adaptation,full adaptation,not applicable,NaN,NaN,1,0,NaN,NaN
M3,gate inactive before fault,hard freeze when gate active,persistent gate-off after clear,NaN,0,1,0,NaN,NaN
M4,continuous weighted update,nonzero evidence-weighted adaptation,two cycles inside robust W0 suppression band,1.53998,NaN,0.545522942324891,0.454477057675109,1.97998,0.0199800000000001
