schema_version,case_name,algorithm_mode,cycle_index,time_start_s,time_end_s,sample_start_index,sample_end_index,n_samples,fault_factor_true,fault_factor_start,fault_factor_end,Cs1_true_pF,Cs2_true_pF,Cs1_est_before_pF,Cs2_est_before_pF,Cs1_est_pF,Cs2_est_pF,Cs1_cf_before_pF,Cs2_cf_before_pF,Cs1_cf_est_pF,Cs2_cf_est_pF,Cs1_lambda_neutral_before_pF,Cs2_lambda_neutral_before_pF,Cs1_lambda_neutral_est_pF,Cs2_lambda_neutral_est_pF,rank_X,sigma_max_X_A_per_pF,sigma_min_X_A_per_pF,cond2_X,r_fault_norm_A,r_parallel_norm_A,r_perp_norm_A,eta_geom,projection_energy_closure_relerr,projection_fit_relerr,counterfactual_identity_max_abs_A,delta_Cs1_LS_pred_pF,delta_Cs2_LS_pred_pF,cLS1_code_pF,cLS2_code_pF,innovation,lambda,cLS1_cf_code_pF,cLS2_cf_code_pF,innovation_cf,lambda_cf,innovation_lambda_neutral,lambda_neutral,R11,R12,R22,z1,z2,J11_before,J12_before,J22_before,h1_before,h2_before,J11_after,J12_after,J22_after,h1_after,h2_after,delta_Cs1_RLS_direct_raw_pF,delta_Cs2_RLS_direct_raw_pF,delta_Cs1_RLS_fault_cf_raw_pF,delta_Cs2_RLS_fault_cf_raw_pF,Cs1_raw_pF,Cs2_raw_pF,Cs1_rate_limited_pF,Cs2_rate_limited_pF,Cs1_projected_pF,Cs2_projected_pF,Cs1_cf_raw_pF,Cs2_cf_raw_pF,Cs1_cf_rate_limited_pF,Cs2_cf_rate_limited_pF,delta_Cs1_RLS_pred_pF,delta_Cs2_RLS_pred_pF,delta_Cs1_actual_pF,delta_Cs2_actual_pF,prediction_error_Cs1_pF,prediction_error_Cs2_pF,rate_limit_active_Cs1,rate_limit_active_Cs2,projection_active_Cs1,projection_active_Cs2,E_in_A,E_quad_A,base_in_A,E_in_cf_A,E_quad_cf_A,base_in_cf_A,gate_trigger_condition,gate_active,gate_hold_before,gate_hold_after,state_mismatch_norm_before,state_mismatch_norm_after,state_mismatch_rel_after,state_mismatch_cf_norm_after,state_mismatch_cf_rel_after
phase1b_mechanism_v1,Case05_fault_only,M2,1,0.7,0.71998,35001,36000,1000,1,1,1,10,10,10.0257477646129,9.93915352508301,10.0626978721989,9.91147071091646,10.0257477646129,9.93915352508301,10.0626978721989,9.91147071091646,10.0257477646129,9.93915352508301,10.0626978721989,9.91147071091646,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,10.1152691626653,9.87206774480514,0.0223737190692513,0.945218475070916,10.1152691626653,9.87206774480514,0.0223737190692513,0.945218475070916,0.0223737190692513,0.945218475070916,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,3.0055489125324e-05,2.96198100302162e-05,3.59266640712174e-06,8.95666601780444e-07,3.59266640712172e-06,4.49213350625858e-05,4.46877904154298e-05,5.78429893419262e-06,1.4437116873605e-06,5.7842989341926e-06,7.2515964951331e-05,7.18595351409775e-05,0,0,0,0,10.0626978721989,9.91147071091646,10.0626978721989,9.91147071091646,10.0626978721989,9.91147071091646,10.0626978721989,9.91147071091646,10.0626978721989,9.91147071091646,0.036950107586005,-0.0276828141665479,0.036950107586005,-0.0276828141665479,0,0,0,0,0,0,0.000933794849097994,1.17194802142306e-05,0.000933794849097994,0.000933794849097994,1.17194802142306e-05,0.000933794849097994,0,0,0,0,0,1.41242748527989e-09,1.38351275553322e-05,1.41242748527989e-09,1.38351275553322e-05
phase1b_mechanism_v1,Case05_fault_only,M2,2,0.72,0.73998,36001,37000,1000,1,1,1,10,10,10.0626978721989,9.91147071091646,10.0736356954832,9.98916489253445,10.0626978721989,9.91147071091646,10.0736356954832,9.98916489253445,10.0626978721989,9.91147071091646,10.0736356954832,9.98916489253445,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,10.0967192649081,10.1554637223694,0.0492706991222041,0.885372694453096,10.0967192649081,10.1554637223694,0.0492706991222041,0.885372694453096,0.0492706991222041,0.885372694453096,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,3.01804007480896e-05,3.0285637519711e-05,5.78429893419262e-06,1.4437116873605e-06,5.7842989341926e-06,7.2515964951331e-05,7.18595351409775e-05,7.5097046043028e-06,1.87533397450543e-06,7.50970460430277e-06,9.43840560279158e-05,9.39081077696252e-05,0,0,0,0,10.0736356954832,9.98916489253445,10.0736356954832,9.98916489253445,10.0736356954832,9.98916489253445,10.0736356954832,9.98916489253445,10.0736356954832,9.98916489253445,0.0109378232843493,0.0776941816179875,0.0109378232843493,0.0776941816179875,0,0,0,0,0,0,0.000931389242180079,1.11617449402703e-05,0.000933758764994226,0.000931389242180079,1.11617449402703e-05,0.000933758764994226,0,0,0,0,1.41242748527989e-09,1.41866680857986e-09,1.06552040791538e-05,1.41866680857986e-09,1.06552040791538e-05
phase1b_mechanism_v1,Case05_fault_only,M2,3,0.74,0.75998,37001,38000,1000,1,1,1,10,10,10.0736356954832,9.98916489253445,10.0895146930354,9.97057210120936,10.0736356954832,9.98916489253445,10.0895146930354,9.97057210120936,10.0736356954832,9.98916489253445,10.0895146930354,9.97057210120936,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,10.1367171810638,9.91461309857153,0.0195317626507563,0.951541828102067,10.1367171810638,9.91461309857153,0.0195317626507563,0.951541828102067,0.0195317626507563,0.951541828102067,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,3.01321229684226e-05,2.97342383403995e-05,7.5097046043028e-06,1.87533397450543e-06,7.50970460430277e-06,9.43840560279158e-05,9.39081077696252e-05,9.5342423190993e-06,2.38156978625645e-06,9.53424231909928e-06,0.000119942500184913,0.000119091730881115,0,0,0,0,10.0895146930354,9.97057210120936,10.0895146930354,9.97057210120936,10.0895146930354,9.97057210120936,10.0895146930354,9.97057210120936,10.0895146930354,9.97057210120936,0.0158789975521803,-0.0185927913250961,0.0158789975521803,-0.0185927913250961,0,0,0,0,0,0,0.000934661786143192,1.69056762521259e-05,0.00093377231031146,0.000934661786143192,1.69056762521259e-05,0.00093377231031146,0,0,0,0,1.41866680857986e-09,1.4184872744109e-09,8.39223414384205e-06,1.4184872744109e-09,8.39223414384205e-06
phase1b_mechanism_v1,Case05_fault_only,M2,4,0.76,0.77998,38001,39000,1000,1,1,1,10,10,10.0895146930354,9.97057210120936,10.0847780875205,9.99434196419255,10.0895146930354,9.97057210120936,10.0847780875205,9.99434196419255,10.0895146930354,9.97057210120936,10.0847780875205,9.99434196419255,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,10.066595802188,10.0835748917268,0.0230607079010192,0.943689924920232,10.066595802188,10.0835748917268,0.0230607079010192,0.943689924920232,0.0230607079010192,0.943689924920232,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,3.00655239073425e-05,3.00959408121086e-05,9.5342423190993e-06,2.38156978625645e-06,9.53424231909928e-06,0.000119942500184913,0.000119091730881115,1.13858126896966e-05,2.84457448063828e-06,1.13858126896966e-05,0.000143254052901588,0.000142481607385928,0,0,0,0,10.0847780875205,9.99434196419255,10.0847780875205,9.99434196419255,10.0847780875205,9.99434196419255,10.0847780875205,9.99434196419255,10.0847780875205,9.99434196419255,-0.0047366055149265,0.0237698629831957,-0.0047366055149265,0.0237698629831957,0,0,0,0,0,0,0.0009305383485842,1.38532294158395e-05,0.000933723800885551,0.0009305383485842,1.38532294158395e-05,0.000933723800885551,0,0,0,0,1.4184872744109e-09,1.41982259586407e-09,7.0272119067311e-06,1.41982259586407e-09,7.0272119067311e-06
phase1b_mechanism_v1,Case05_fault_only,M2,5,0.78,0.79998,39001,40000,1000,1,1,1,10,10,10.0847780875205,9.99434196419255,10.06010098651,10.0101347634617,10.0847780875205,9.99434196419255,10.06010098651,10.0101347634617,10.0847780875205,9.99434196419255,10.06010098651,10.0101347634617,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,9.95102654809838,10.0794416185946,0.0317057884160857,0.924454620774209,9.95102654809838,10.0794416185946,0.0317057884160857,0.924454620774209,0.0317057884160857,0.924454620774209,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,2.97870136044015e-05,3.00170606255261e-05,1.13858126896966e-05,2.84457448063828e-06,1.13858126896966e-05,0.000143254052901588,0.000142481607385928,1.29141114236742e-05,3.22679109061609e-06,1.29141114236742e-05,0.000162218884753908,0.000161734840948784,0,0,0,0,10.06010098651,10.0101347634617,10.06010098651,10.0101347634617,10.06010098651,10.0101347634617,10.06010098651,10.0101347634617,10.06010098651,10.0101347634617,-0.0246771010105054,0.0157927992691924,-0.0246771010105054,0.0157927992691924,0,0,0,0,0,0,0.000930734372327397,5.87839544531575e-06,0.000933678959457179,0.000930734372327397,5.87839544531575e-06,0.000933678959457179,0,0,0,0,1.41982259586407e-09,1.41918437786423e-09,6.19541432939369e-06,1.41918437786423e-09,6.19541432939369e-06
phase1b_mechanism_v1,Case05_fault_only,M2,6,0.8,0.81998,40001,41000,1000,1,1,1,10,10,10.06010098651,10.0101347634617,10.0251244903343,9.97897017911384,10.06010098651,10.0101347634617,10.0251244903343,9.97897017911384,10.06010098651,10.0101347634617,10.0251244903343,9.97897017911384,2,0.00172787596177161,0.0013384069648507,1.29099444873582,0,0,0,NaN,0,0,0,0,-0,9.85931404506842,9.8312053349575,0.053788897084181,0.875319703987697,9.85931404506842,9.8312053349575,0.053788897084181,0.875319703987697,0.053788897084181,0.875319703987697,2.3884442714145e-06,5.97111067853646e-07,2.38844427141452e-06,2.94197295982697e-05,2.93693747216678e-05,1.29141114236742e-05,3.22679109061609e-06,1.29141114236742e-05,0.000162218884753908,0.000161734840948784,1.36924204600491e-05,3.42158489012186e-06,1.36924204600491e-05,0.000171413115782275,0.000170939067825455,0,0,0,0,10.0251244903343,9.97897017911384,10.0251244903343,9.97897017911384,10.0251244903343,9.97897017911384,10.0251244903343,9.97897017911384,10.0251244903343,9.97897017911384,-0.0349764961756716,-0.0311645843479091,-0.0349764961756716,-0.0311645843479091,0,0,0,0,0,0,0.000929228871754037,1.98596071043774e-05,0.000933612208141632,0.000929228871754037,1.98596071043774e-05,0.000933612208141632,0,0,0,0,1.41918437786423e-09,1.41450686420852e-09,5.8431433169831e-06,1.41450686420852e-09,5.8431433169831e-06
phase1b_mechanism_v1,Case05_fault_only,M2,7,0.82,0.83998,41001,42000,1000,1,1,1,10,10,10.0251244903343,9.97897017911384,9.97023713006454,9.97044846093694,10.0251244903343,9.97897017911384,9.97023713006454,9.97044846093694,10.0251244903343,9.97897017911384,9.97023713006454,9.97044846093694,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,9.70258453630114,9.92868195843083,0.0652873424446689,0.849735663060612,9.70258453630114,9.92868195843083,0.0652873424446689,0.849735663060612,0.0652873424446689,0.849735663060612,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,2.91035785986748e-05,2.95086170279174e-05,1.36924204600491e-05,3.42158489012186e-06,1.36924204600491e-05,0.000171413115782275,0.000170939067825455,1.4023382249939e-05,3.50455377317951e-06,1.4023382249939e-05,0.000174759416195211,0.000174761639169543,0,0,0,0,9.97023713006454,9.97044846093694,9.97023713006454,9.97044846093694,9.97023713006454,9.97044846093694,9.97023713006454,9.97044846093694,9.97023713006454,9.97044846093694,-0.0548873602697828,-0.00852171817689751,-0.0548873602697828,-0.00852171817689751,0,0,0,0,0,0,0.000932284471314899,1.34191148022945e-05,0.000933592292089231,0.000932284471314899,1.34191148022945e-05,0.000933592292089231,0,0,0,0,1.41450686420852e-09,1.41001940038316e-09,5.70514573752855e-06,1.41001940038316e-09,5.70514573752855e-06
phase1b_mechanism_v1,Case05_fault_only,M2,8,0.84,0.85998,42001,43000,1000,1,1,1,10,10,9.97023713006454,9.97044846093694,9.99936220035464,9.9830641294302,9.97023713006454,9.97044846093694,9.99936220035464,9.9830641294302,9.97023713006454,9.97044846093694,9.99936220035464,9.9830641294302,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,10.1539680409281,10.0498499607184,0.0400308110206704,0.905931445479008,10.1539680409281,10.0498499607184,0.0400308110206704,0.905931445479008,0.0400308110206704,0.905931445479008,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,3.02540788380983e-05,3.00675582521195e-05,1.4023382249939e-05,3.50455377317951e-06,1.4023382249939e-05,0.000174759416195211,0.000174761639169543,1.50926672236064e-05,3.77199653334906e-06,1.50926672236064e-05,0.000188574129362894,0.000188389622639265,0,0,0,0,9.99936220035464,9.9830641294302,9.99936220035464,9.9830641294302,9.99936220035464,9.9830641294302,9.99936220035464,9.9830641294302,9.99936220035464,9.9830641294302,0.0291250702901067,0.0126156684932663,0.0291250702901067,0.0126156684932663,0,0,0,0,0,0,0.000931150046598782,1.14475985268815e-05,0.000933555658406874,0.000931150046598782,1.14475985268815e-05,0.000933555658406874,0,0,0,0,1.41001940038316e-09,1.41297138620607e-09,5.30088913761329e-06,1.41297138620607e-09,5.30088913761329e-06
phase1b_mechanism_v1,Case05_fault_only,M2,9,0.86,0.87998,43001,44000,1000,1,1,1,10,10,9.99936220035464,9.9830641294302,10.0275980634318,10.026064737799,9.99936220035464,9.9830641294302,10.0275980634318,10.026064737799,9.99936220035464,9.9830641294302,10.0275980634318,10.026064737799,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,10.1788500284676,10.2565714092688,0.0654284685944502,0.849421657377348,10.1788500284676,10.2565714092688,0.0654284685944502,0.849421657377348,0.0654284685944502,0.849421657377348,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,3.04369462317891e-05,3.05761788939829e-05,1.50926672236064e-05,3.77199653334906e-06,1.50926672236064e-05,0.000188574129362894,0.000188389622639265,1.52084826787351e-05,3.80112661483261e-06,1.52084826787351e-05,0.000190615895733709,0.00019059840438892,0,0,0,0,10.0275980634318,10.026064737799,10.0275980634318,10.026064737799,10.0275980634318,10.026064737799,10.0275980634318,10.026064737799,10.0275980634318,10.026064737799,0.0282358630771764,0.0430006083687591,0.0282358630771764,0.0430006083687591,0,0,0,0,0,0,0.000929601411922584,1.10729940657915e-05,0.00093349634470961,0.000929601411922584,1.10729940657915e-05,0.00093349634470961,0,0,0,0,1.41297138620607e-09,1.41800809960296e-09,5.26046972334825e-06,1.41800809960296e-09,5.26046972334825e-06
phase1b_mechanism_v1,Case05_fault_only,M2,10,0.88,0.89998,44001,45000,1000,1,1,1,10,10,10.0275980634318,10.026064737799,10.0117330227517,10.0453117421526,10.0275980634318,10.026064737799,10.0117330227517,10.0453117421526,10.0275980634318,10.026064737799,10.0117330227517,10.0453117421526,2,0.0017278759617716,0.0013384069648507,1.29099444873581,0,0,0,NaN,0,0,0,0,-0,9.91858525618238,10.1576302926279,0.0341720864811373,0.91896710757947,9.91858525618238,10.1576302926279,0.0341720864811373,0.91896710757947,0.0341720864811373,0.91896710757947,2.3884442714145e-06,5.97111067853638e-07,2.3884442714145e-06,2.97562134650843e-05,3.01844466805193e-05,1.52084826787351e-05,3.80112661483261e-06,1.52084826787351e-05,0.000190615895733709,0.00019059840438892,1.63645396093641e-05,4.0902213986297e-06,1.63645396093641e-05,0.00020492595182616,0.000205338111071067,0,0,0,0,10.0117330227517,10.0453117421526,10.0117330227517,10.0453117421526,10.0117330227517,10.0453117421526,10.0117330227517,10.0453117421526,10.0117330227517,10.0453117421526,-0.0158650406800938,0.0192470043536215,-0.0158650406800938,0.0192470043536215,0,0,0,0,0,0,0.000924604819770986,9.90407054480224e-06,0.00093336297183553,0.000924604819770986,9.90407054480224e-06,0.00093336297183553,0,0,0,0,1.41800809960296e-09,1.4182492238921e-09,4.8888178529453e-06,1.4182492238921e-09,4.8888178529453e-06
