time_s,Cs1_pF,Cs2_pF,lambda,innovation_scalar,E_in,E_quad,base_in,evidence_ratio_base,evidence_ratio_quad,evidence_background_excess,evidence_phase_weight,fault_evidence_score,update_weight,delta_c_m2_raw_1,delta_c_m2_raw_2,delta_c_raw_1,delta_c_raw_2,delta_c_applied_1,delta_c_applied_2,J_increment_norm_raw,J_increment_norm_applied,h_increment_norm_raw,h_increment_norm_applied,rate_limit_active,projection_active,base_in_increment_candidate,base_in_increment_applied
0.71998,10.0626978721989,9.91147071091646,0.945218475070916,0.0223737190692513,0.000933794849097994,1.17194802142306e-05,0.000933794849097994,0.999999999999762,79.6788622029859,0,1,0,1,0.036950107586005,-0.0276828141665479,0.036950107586005,-0.0276828141665479,0.036950107586005,-0.0276828141665479,3.19487293942765e-06,3.19487293942765e-06,3.87268293322234e-05,3.87268293322234e-05,0,0,0,0
0.73998,10.0736356954832,9.98916489253445,0.885372694453096,0.0492706991222041,0.000931389242180079,1.11617449402703e-05,0.000933758764994226,0.997423837879958,83.4447702528311,0,1,0,1,0.0109378232843493,0.0776941816179875,0.0109378232843493,0.0776941816179875,0.0109378232843493,0.0776941816179875,2.51528230034267e-06,2.51528230034267e-06,3.10540329473413e-05,3.10540329473413e-05,0,0,-3.6084103768679e-08,-3.6084103768679e-08
0.75998,10.0894145222732,9.97068938883943,0.951541828102067,0.0195317626507563,0.000934661786143192,1.69056762521259e-05,0.000933772202022245,1.00096708184447,55.286861773032,0.00805901537061689,1,0.00805901537061689,0.992005413127867,0.0158789975521803,-0.0185927913250961,0.0157788267899868,-0.0184755036950257,0.0157788267899868,-0.0184755036950257,2.95128028344739e-06,2.92768601683736e-06,3.58810387356319e-05,3.55941846543975e-05,0,0,1.35453172344984e-08,1.34370280191566e-08
0.77998,10.0846928393954,9.99446535616362,0.943749926010161,0.0230337411190289,0.000930538345207896,1.38527639092053e-05,0.00093372369417003,0.996536781875101,67.1734789744468,0,1,0,1,-0.00472168287780583,0.0237759673241911,-0.00472168287780583,0.0237759673241911,-0.00472168287780583,0.0237759673241911,2.70130395421138e-06,2.70130395421138e-06,3.30492201098052e-05,3.30492201098052e-05,0,0,-4.85078522152477e-08,-4.85078522152477e-08
0.79998,10.0600068641492,10.0102510948006,0.924516098100178,0.0316781581572232,0.000930734368859978,5.87678117078506e-06,0.000933678854290379,0.996798490464644,158.374855516439,0,1,0,1,-0.0246859752462623,0.015785738636982,-0.0246859752462623,0.015785738636982,-0.0246859752462623,0.015785738636982,2.23054598294552e-06,2.23054598294552e-06,2.70571104121356e-05,2.70571104121356e-05,0,0,-4.48398796507868e-08,-4.48398796507868e-08
0.81998,10.025017835934,9.97904039808664,0.875316514334807,0.0537903306360416,0.000929228852031314,1.98606720197869e-05,0.000933612104256493,0.995233904849791,46.7873821739339,0,1,0,1,-0.0349890282152021,-0.0312106967139556,-0.0349890282152021,-0.0312106967139556,-0.0349890282152021,-0.0312106967139556,1.13692833240821e-06,1.13692833240821e-06,1.30374331194503e-05,1.30374331194503e-05,0,0,-6.67500338859739e-08,-6.67500338859739e-08
0.83998,9.97011321353376,9.97050120820085,0.849777738961444,0.0652684319274408,0.000932284475672251,1.34172380883791e-05,0.000933592189827729,0.998577965540067,69.4840823063494,0,1,0,1,-0.0549046224001994,-0.00853918988579849,-0.0549046224001994,-0.00853918988579849,-0.0549046224001994,-0.00853918988579849,4.85854248665424e-07,4.85854248665424e-07,5.12056682539622e-06,5.12056682539622e-06,0,0,-1.99144287635865e-08,-1.99144287635865e-08
0.85998,9.99927484929778,9.98311586718473,0.905890128252536,0.0400493805606579,0.000931150058709728,1.1447910746625e-05,0.000933555557860959,0.997384156439147,81.3379907740964,0,1,0,1,0.0291616357640194,0.0126146589838854,0.0291616357640194,0.0126146589838854,0.0291616357640194,0.0126146589838854,1.55917583536409e-06,1.55917583536409e-06,1.94102490304297e-05,1.94102490304297e-05,0,0,-3.66319667700638e-08,-3.66319667700638e-08
0.87998,10.0275383454912,10.0261295268228,0.849419572171991,0.0654294057653972,0.000929601417479755,1.10729012683697e-05,0.000933496245755241,0.99576442949953,83.952831776489,0,1,0,1,0.0282634961934409,0.0430136596380635,0.0282634961934409,0.0430136596380635,0.0282634961934409,0.0430136596380635,1.70769935896002e-07,1.70769935896002e-07,3.03074592716436e-06,3.03074592716436e-06,0,0,-5.93121057180677e-08,-5.93121057180677e-08
0.89998,10.0116759313774,10.0453744674847,0.919006263139796,0.0341544884764963,0.000924604806015245,9.90444604053288e-06,0.000933362874159141,0.990475119979703,93.3525007063163,0,1,0,1,-0.0158624141138102,0.0192449406618689,-0.0158624141138102,0.0192449406618689,-0.0158624141138102,0.0192449406618689,1.68700773684467e-06,1.68700773684467e-06,2.05648251863685e-05,2.05648251863685e-05,0,0,-1.33371596099953e-07,-1.33371596099953e-07
