time_s,Cs1_pF,Cs2_pF,lambda,innovation_scalar,E_in,E_quad,base_in,evidence_ratio_base,evidence_ratio_quad,evidence_background_excess,evidence_phase_weight,fault_evidence_score,update_weight,delta_c_m2_raw_1,delta_c_m2_raw_2,delta_c_raw_1,delta_c_raw_2,delta_c_applied_1,delta_c_applied_2,J_increment_norm_raw,J_increment_norm_applied,h_increment_norm_raw,h_increment_norm_applied,rate_limit_active,projection_active,base_in_increment_candidate,base_in_increment_applied
0.71998,10.0615893485937,9.91230135294471,0.995,0.0223737190692513,0.000933794849097994,1.17194802142306e-05,0.000933794849097994,0.999999999999762,79.6788622029859,0,1,0,1,0.0358415839808011,-0.0268521721383035,0.0358415839808011,-0.0268521721383035,0.0358415839808011,-0.0268521721383035,3.4555443687987e-06,3.4555443687987e-06,4.18811196162427e-05,4.18811196162427e-05,0,0,0,0
0.73998,10.0717898776535,9.98218588936606,0.995,0.0491373784097239,0.000931389142991204,1.11626349686151e-05,0.000933758763506393,0.997423731658687,83.438108080339,0,1,0,1,0.0102005290597891,0.0698845364213465,0.0102005290597891,0.0698845364213465,0.0102005290597891,0.0698845364213465,3.43826664695471e-06,3.43826664695471e-06,4.22297994169159e-05,4.22297994169159e-05,0,0,-3.60855916018647e-08,-3.60855916018647e-08
0.75998,10.0863056686786,9.96723013061703,0.995,0.0187420775624192,0.000934661830662876,1.68893029140766e-05,0.000933772201213534,1.00096713111732,55.3404622680774,0.00805942597769855,1,0.00805942597769855,0.992005009059975,0.0146070538608551,-0.0150497873214253,0.0145157910251523,-0.0149557587490232,0.0145157910251523,-0.0149557587490232,3.42107531371993e-06,3.3937238475816e-06,4.15954835107588e-05,4.12629279969443e-05,0,0,1.35460073472874e-08,1.34377071412723e-08
0.77998,10.0827465182786,9.98869023880057,0.995,0.023600493448032,0.000930538452109989,1.3868783054287e-05,0.000933723694976981,0.996536897222296,67.0958979207226,0,1,0,1,-0.0035591504000525,0.0214601081835344,-0.0035591504000525,0.0214601081835344,-0.0035591504000525,0.0214601081835344,3.40410669448202e-06,3.40410669448202e-06,4.15969124057774e-05,4.15969124057774e-05,0,0,-4.85062365532165e-08,-4.85062365532165e-08
0.79998,10.0622505144366,10.0028976998891,0.995,0.0319912259713812,0.000930734571585021,5.85867931227014e-06,0.000933678858126101,0.996798706717779,158.864228939867,0,1,0,1,-0.020496003841977,0.0142074610885139,-0.020496003841977,0.0142074610885139,-0.020496003841977,0.0142074610885139,3.38708616100961e-06,3.38708616100961e-06,4.11365417668419e-05,4.11365417668419e-05,0,0,-4.48368508794341e-08,-4.48368508794341e-08
0.81998,10.0347848910685,9.97966617806625,0.995,0.0531644538297614,0.000929229644392595,1.97790439896945e-05,0.000933612119920098,0.995234749405532,46.9805135610357,0,1,0,1,-0.0274656233681352,-0.0232315218228329,-0.0274656233681352,-0.0232315218228329,-0.0274656233681352,-0.0232315218228329,3.37015073020458e-06,3.37015073020458e-06,4.02128477666128e-05,4.02128477666128e-05,0,0,-6.6738206002683e-08,-6.6738206002683e-08
0.83998,9.99499424012611,9.97358833245167,0.995,0.0672179935313063,0.000932283918517035,1.36555440649676e-05,0.000933592196899053,0.998577352012741,68.2714591279883,0,1,0,1,-0.0397906509423596,-0.00607784561457514,-0.0397906509423596,-0.00607784561457514,-0.0397906509423596,-0.00607784561457514,3.35329997655354e-06,3.35329997655354e-06,3.98877233864715e-05,3.98877233864715e-05,0,0,-1.99230210459625e-08,-1.99230210459625e-08
0.85998,10.0121273219262,9.98182718815933,0.995,0.0352638655211467,0.000931148605798771,1.12065465000145e-05,0.000933555543032548,0.997382592625967,83.0897017006191,0,1,0,1,0.0171330818000985,0.00823885570765626,0.0171330818000985,0.00823885570765626,0.0171330818000985,0.00823885570765626,3.33653347667078e-06,3.33653347667078e-06,4.08962098666913e-05,4.08962098666913e-05,0,0,-3.665386650426e-08,-3.665386650426e-08
0.87998,10.0284246398777,10.0086598241242,0.995,0.0642746755447271,0.000929600349052052,1.09678232639614e-05,0.000933496215122841,0.995763300844565,84.7570503882717,0,1,0,1,0.016297317951512,0.0268326359648405,0.016297317951512,0.0268326359648405,0.016297317951512,0.0268326359648405,3.31985080928742e-06,3.31985080928742e-06,4.1180598693493e-05,4.1180598693493e-05,0,0,-5.93279097074783e-08,-5.93279097074783e-08
0.89998,10.0186492784537,10.0219886857688,0.995,0.0370172342007353,0.000924607029072416,9.86120978900825e-06,0.000933362877332084,0.99047753391322,93.7620280710593,0,1,0,1,-0.00977536142403501,0.0133288616446059,-0.00977536142403501,0.0133288616446059,-0.00977536142403501,0.0133288616446059,3.30325155524098e-06,3.30325155524098e-06,4.02173767109343e-05,4.02173767109343e-05,0,0,-1.33337790756446e-07,-1.33337790756446e-07
