time_s,Cs1_pF,Cs2_pF,lambda,innovation_scalar,local_ls_Cs1_pF,local_ls_Cs2_pF,E_in,E_quad,base_in,base_in_candidate,base_in_increment_candidate,base_in_increment_applied,evidence_ratio_base,evidence_ratio_quad,evidence_background_excess,evidence_phase_weight,fault_evidence_score,update_weight,delta_c_local_1,delta_c_local_2,delta_c_m2_raw_1,delta_c_m2_raw_2,delta_c_raw_1,delta_c_raw_2,delta_c_after_rate_1,delta_c_after_rate_2,delta_c_applied_1,delta_c_applied_2,delta_c_suppressed_1,delta_c_suppressed_2,delta_c_information_suppressed_1,delta_c_information_suppressed_2,delta_c_rate_suppressed_1,delta_c_rate_suppressed_2,delta_c_projection_suppressed_1,delta_c_projection_suppressed_2,J_increment_norm_raw,J_increment_norm_applied,h_increment_norm_raw,h_increment_norm_applied,rate_limit_active,projection_active,m4_evidence_valid,fault_direction_candidate_1,fault_direction_candidate_2,direction_candidate_valid,cos_local_fault,cos_raw_fault,delta_c_parallel_1,delta_c_parallel_2,delta_c_perpendicular_1,delta_c_perpendicular_2,R_condition_number,J_11,J_12,J_21,J_22,h_1,h_2,J_increment_raw_11,J_increment_raw_12,J_increment_raw_21,J_increment_raw_22,J_increment_applied_11,J_increment_applied_12,J_increment_applied_21,J_increment_applied_22,h_increment_raw_1,h_increment_raw_2,h_increment_applied_1,h_increment_applied_2,forced_update_weight_active,direction_diagnostics_enabled
0.71998,10.0626978721989,9.91147071091646,0.945218475070916,0.0223737190692513,10.1152691626653,9.87206774480514,0.000933794849097994,1.17194802142306e-05,0.000933794849097994,0.000933794849097994,0,0,0.999999999999762,79.6788622029859,0,1,0,1,0.0895213980523817,-0.0670857802778766,0.036950107586005,-0.0276828141665479,0.036950107586005,-0.0276828141665479,0.036950107586005,-0.0276828141665479,0.036950107586005,-0.0276828141665479,0,0,0,0,0,0,0,0,3.19487293942765e-06,3.19487293942765e-06,3.87268293322234e-05,3.87268293322234e-05,0,0,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1.66666666666668,5.78429893419262e-06,1.4437116873605e-06,1.4437116873605e-06,5.7842989341926e-06,7.2515964951331e-05,7.18595351409775e-05,2.19163252707088e-06,5.48045085580055e-07,5.48045085580055e-07,2.19163252707088e-06,2.19163252707088e-06,5.48045085580055e-07,5.48045085580055e-07,2.19163252707088e-06,2.75946298887452e-05,2.71717447255477e-05,2.75946298887452e-05,2.71717447255477e-05,1,0
0.73998,10.0736356954832,9.98916489253445,0.885372694453096,0.0492706991222041,10.0967192649081,10.1554637223694,0.000931389242180079,1.11617449402703e-05,0.000933758764994226,0.000933758764994226,-3.6084103768679e-08,-3.6084103768679e-08,0.997423837879958,83.4447702528311,0,1,0,1,0.0340213927091924,0.243993011452984,0.0109378232843493,0.0776941816179875,0.0109378232843493,0.0776941816179875,0.0109378232843493,0.0776941816179875,0.0109378232843493,0.0776941816179875,0,0,0,0,0,0,0,0,2.51528230034267e-06,2.51528230034267e-06,3.10540329473413e-05,3.10540329473413e-05,0,0,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1.66666666666669,7.5097046043028e-06,1.87533397450543e-06,1.87533397450543e-06,7.50970460430277e-06,9.43840560279158e-05,9.39081077696252e-05,1.72540567011017e-06,4.3162228714493e-07,4.3162228714493e-07,1.72540567011018e-06,1.72540567011017e-06,4.3162228714493e-07,4.3162228714493e-07,1.72540567011018e-06,2.18680910765848e-05,2.20485726286477e-05,2.18680910765848e-05,2.20485726286477e-05,1,0
0.75998,10.0895146930354,9.97057210120936,0.951541828102067,0.0195317626507563,10.1367171810638,9.91461309857153,0.000934661786143192,1.69056762521259e-05,0.00093377231031146,0.00093377231031146,1.35453172344984e-08,1.35453172344984e-08,1.00096708184447,55.286861773032,0.00805901537061689,1,0.00805901537061689,1,0.0630814855805291,-0.0745517939629252,0.0158789975521803,-0.0185927913250961,0.0158789975521803,-0.0185927913250961,0.0158789975521803,-0.0185927913250961,0.0158789975521803,-0.0185927913250961,0,0,0,0,0,0,0,0,2.95128028344739e-06,2.95128028344739e-06,3.58810387356319e-05,3.58810387356319e-05,0,0,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1.66666666666668,9.5342423190993e-06,2.38156978625645e-06,2.38156978625645e-06,9.53424231909928e-06,0.000119942500184913,0.000119091730881115,2.0245377147965e-06,5.06235811751021e-07,5.06235811751021e-07,2.0245377147965e-06,2.0245377147965e-06,5.06235811751021e-07,5.06235811751021e-07,2.0245377147965e-06,2.55584441569977e-05,2.51836231114894e-05,2.55584441569977e-05,2.51836231114894e-05,1,0
0.77998,10.0847780875205,9.99434196419255,0.943689924920232,0.0230607079010192,10.066595802188,10.0835748917268,0.0009305383485842,1.38532294158395e-05,0.000933723800885551,0.000933723800885551,-4.85094259088971e-08,-4.85094259088971e-08,0.996536669922882,67.1712220044033,0,1,0,1,-0.0229188908474391,0.113002790517431,-0.0047366055149265,0.0237698629831957,-0.0047366055149265,0.0237698629831957,-0.0047366055149265,0.0237698629831957,-0.0047366055149265,0.0237698629831957,0,0,0,0,0,0,0,0,2.69914289517748e-06,2.69914289517748e-06,3.30229437357233e-05,3.30229437357233e-05,0,0,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1.66666666666668,1.13858126896966e-05,2.84457448063828e-06,2.84457448063828e-06,1.13858126896966e-05,0.000143254052901588,0.000142481607385928,1.85157037059732e-06,4.63004694381831e-07,4.63004694381831e-07,1.85157037059733e-06,1.85157037059732e-06,4.63004694381831e-07,4.63004694381831e-07,1.85157037059733e-06,2.3311552716675e-05,2.33898765048135e-05,2.3311552716675e-05,2.33898765048135e-05,1,0
0.79998,10.06010098651,10.0101347634617,0.924454620774209,0.0317057884160857,9.95102654809838,10.0794416185946,0.000930734372327397,5.87839544531575e-06,0.000933678959457179,0.000933678959457179,-4.48414283723327e-08,-4.48414283723327e-08,0.996798380253839,158.33136456206,0,1,0,1,-0.133751539422118,0.0850996544020806,-0.0246771010105054,0.0157927992691924,-0.0246771010105054,0.0157927992691924,-0.0246771010105054,0.0157927992691924,-0.0246771010105054,0.0157927992691924,0,0,0,0,0,0,0,0,2.22790778858566e-06,2.22790778858566e-06,2.70250226607237e-05,2.70250226607237e-05,0,0,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1.66666666666668,1.29141114236742e-05,3.22679109061609e-06,3.22679109061609e-06,1.29141114236742e-05,0.000162218884753908,0.000161734840948784,1.52829873397755e-06,3.82216609977812e-07,3.82216609977812e-07,1.52829873397755e-06,1.52829873397755e-06,3.82216609977812e-07,3.82216609977812e-07,1.52829873397755e-06,1.89648318523195e-05,1.92532335628559e-05,1.89648318523195e-05,1.92532335628559e-05,1,0
0.81998,10.0251244903343,9.97897017911384,0.875319703987697,0.053788897084181,9.85931404506842,9.8312053349575,0.000929228871754037,1.98596071043774e-05,0.000933612208141632,0.000933612208141632,-6.6751315547166e-08,-6.6751315547166e-08,0.995233813873293,46.789892008429,0,1,0,1,-0.200786941441567,-0.178929428504246,-0.0349764961756716,-0.0311645843479091,-0.0349764961756716,-0.0311645843479091,-0.0349764961756716,-0.0311645843479091,-0.0349764961756716,-0.0311645843479091,0,0,0,0,0,0,0,0,1.13464494924959e-06,1.13464494924959e-06,1.30096762680787e-05,1.30096762680787e-05,0,0,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1.6666666666667,1.36924204600491e-05,3.42158489012186e-06,3.42158489012186e-06,1.36924204600491e-05,0.000171413115782275,0.000170939067825455,7.78309036374948e-07,1.94793799505771e-07,1.94793799505771e-07,7.78309036374963e-07,7.78309036374948e-07,1.94793799505771e-07,1.94793799505771e-07,7.78309036374963e-07,9.19423102836681e-06,9.20422687667073e-06,9.19423102836681e-06,9.20422687667073e-06,1,0
0.83998,9.97023713006454,9.97044846093694,0.849735663060612,0.0652873424446689,9.70258453630114,9.92868195843083,0.000932284471314899,1.34191148022945e-05,0.000933592292089231,0.000933592292089231,-1.99160524010089e-08,-1.99160524010089e-08,0.998577849758844,69.4743643701491,0,1,0,1,-0.322539954033177,-0.050288220683008,-0.0548873602697828,-0.00852171817689751,-0.0548873602697828,-0.00852171817689751,-0.0548873602697828,-0.00852171817689751,-0.0548873602697828,-0.00852171817689751,0,0,0,0,0,0,0,0,4.82534023511221e-07,4.82534023511221e-07,5.08033248264972e-06,5.08033248264972e-06,0,0,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1.66666666666669,1.4023382249939e-05,3.50455377317951e-06,3.50455377317951e-06,1.4023382249939e-05,0.000174759416195211,0.000174761639169543,3.30961789889906e-07,8.29688830576463e-08,8.29688830576463e-08,3.30961789889906e-07,3.30961789889906e-07,8.29688830576463e-08,8.29688830576463e-08,3.30961789889906e-07,3.34630041293671e-06,3.82257134408836e-06,3.34630041293671e-06,3.82257134408836e-06,1,0
0.85998,9.99936220035464,9.9830641294302,0.905931445479008,0.0400308110206704,10.1539680409281,10.0498499607184,0.000931150046598782,1.14475985268815e-05,0.000933555658406874,0.000933555658406874,-3.66336823568294e-08,-3.66336823568294e-08,0.997384034217758,81.3402081138828,0,1,0,1,0.1837309108636,0.0794014997814738,0.0291250702901067,0.0126156684932663,0.0291250702901067,0.0126156684932663,0.0291250702901067,0.0126156684932663,0.0291250702901067,0.0126156684932663,0,0,0,0,0,0,0,0,1.55877899965198e-06,1.55877899965198e-06,1.94053660969418e-05,1.94053660969418e-05,0,0,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1.66666666666668,1.50926672236064e-05,3.77199653334906e-06,3.77199653334906e-06,1.50926672236064e-05,0.000188574129362894,0.000188389622639265,1.06928497366741e-06,2.67442760169554e-07,2.67442760169554e-07,1.06928497366741e-06,1.06928497366741e-06,2.67442760169554e-07,2.67442760169554e-07,1.06928497366741e-06,1.38147131676824e-05,1.36279834697215e-05,1.38147131676824e-05,1.36279834697215e-05,1,0
0.87998,10.0275980634318,10.026064737799,0.849421657377348,0.0654284685944502,10.1788500284676,10.2565714092688,0.000929601411922584,1.10729940657915e-05,0.00093349634470961,0.00093349634470961,-5.93136972644069e-08,-5.93136972644069e-08,0.995764316300905,83.9521277064368,0,1,0,1,0.179487828112915,0.273507279838549,0.0282358630771764,0.0430006083687591,0.0282358630771764,0.0430006083687591,0.0282358630771764,0.0430006083687591,0.0282358630771764,0.0430006083687591,0,0,0,0,0,0,0,0,1.68889202105341e-07,1.68889202105341e-07,3.00791069192608e-06,3.00791069192608e-06,0,0,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1.66666666666669,1.52084826787351e-05,3.80112661483261e-06,3.80112661483261e-06,1.52084826787351e-05,0.000190615895733709,0.00019059840438892,1.15815455128627e-07,2.91300814835483e-08,2.91300814835483e-08,1.15815455128628e-07,1.15815455128627e-07,2.91300814835483e-08,2.91300814835483e-08,1.15815455128628e-07,2.04176637081502e-06,2.20878174965569e-06,2.04176637081502e-06,2.20878174965569e-06,1,0
0.89998,10.0117330227517,10.0453117421526,0.91896710757947,0.0341720864811373,9.91858525618238,10.1576302926279,0.000924604819770986,9.90407054480224e-06,0.00093336297183553,0.00093336297183553,-1.33372874079412e-07,-1.33372874079412e-07,0.990475029721076,93.3560413940608,0,1,0,1,-0.109012807249439,0.13156555482897,-0.0158650406800938,0.0192470043536215,-0.0158650406800938,0.0192470043536215,-0.0158650406800938,0.0192470043536215,-0.0158650406800938,0.0192470043536215,0,0,0,0,0,0,0,0,1.68525571998684e-06,1.68525571998684e-06,2.0543530817385e-05,2.0543530817385e-05,0,0,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1.66666666666668,1.63645396093641e-05,4.0902213986297e-06,4.0902213986297e-06,1.63645396093641e-05,0.00020492595182616,0.000205338111071067,1.15605693062907e-06,2.89094783797092e-07,2.89094783797092e-07,1.15605693062907e-06,1.15605693062907e-06,2.89094783797092e-07,2.89094783797092e-07,1.15605693062907e-06,1.43100560924516e-05,1.47397066821471e-05,1.43100560924516e-05,1.47397066821471e-05,1,0
